long,lat,elevation,time
2.192547,48.77417,175,2022-08-04T10:49:58.100Z
2.191279,48.77417,191,2022-08-04T10:49:58.840Z
2.190857,48.774124,198,2022-08-04T10:49:59.460Z
2.189801,48.774078,213,2022-08-04T10:50:00.270Z
2.18811,48.774033,236,2022-08-04T10:50:01.720Z
2.18635,48.773941,267,2022-08-04T10:50:03.250Z
2.184761,48.773897,297,2022-08-04T10:50:04.750Z
2.183603,48.773849,320,2022-08-04T10:50:05.920Z
2.181913,48.773804,351,2022-08-04T10:50:07.240Z
2.180152,48.773758,381,2022-08-04T10:50:08.940Z
2.17869,48.773711,411,2022-08-04T10:50:10.500Z
2.176955,48.773664,442,2022-08-04T10:50:11.830Z
2.175434,48.773621,472,2022-08-04T10:50:13.300Z
2.173673,48.773621,503,2022-08-04T10:50:14.840Z
2.172113,48.773571,533,2022-08-04T10:50:16.310Z
2.170574,48.773529,556,2022-08-04T10:50:17.750Z
2.168955,48.773529,587,2022-08-04T10:50:19.250Z
2.167342,48.773478,617,2022-08-04T10:50:20.790Z
2.165504,48.773438,648,2022-08-04T10:50:22.430Z
2.163814,48.773392,678,2022-08-04T10:50:24.150Z
2.162211,48.773338,701,2022-08-04T10:50:25.540Z
2.160548,48.773292,732,2022-08-04T10:50:27.070Z
2.158602,48.773254,762,2022-08-04T10:50:28.820Z
2.158109,48.773254,770,2022-08-04T10:50:29.360Z
2.156912,48.773209,792,2022-08-04T10:50:30.580Z
2.155996,48.773163,800,2022-08-04T10:50:31.380Z
2.154236,48.773163,815,2022-08-04T10:50:32.850Z
2.152019,48.773105,838,2022-08-04T10:50:34.820Z
2.149851,48.773059,861,2022-08-04T10:50:36.680Z
2.148179,48.77298,869,2022-08-04T10:50:38.050Z
2.145514,48.772919,876,2022-08-04T10:50:40.170Z
2.142623,48.772873,892,2022-08-04T10:50:42.730Z
2.119566,48.772361,907,2022-08-04T10:51:01.540Z
2.10381,48.771942,907,2022-08-04T10:51:14.250Z
2.097684,48.771561,914,2022-08-04T10:51:19.220Z
2.091594,48.770917,914,2022-08-04T10:51:24.250Z
2.083788,48.7698,914,2022-08-04T10:51:30.750Z
2.069911,48.767752,914,2022-08-04T10:51:42.210Z
2.046063,48.764374,907,2022-08-04T10:52:02.070Z
2.033627,48.762538,907,2022-08-04T10:52:12.360Z
2.031387,48.762212,914,2022-08-04T10:52:14.410Z
2.022713,48.760955,945,2022-08-04T10:52:21.430Z
2.015569,48.759933,975,2022-08-04T10:52:27.370Z
2.008385,48.758881,1006,2022-08-04T10:52:33.290Z
2.001061,48.757782,1036,2022-08-04T10:52:39.280Z
1.993737,48.756683,1067,2022-08-04T10:52:45.240Z
1.986272,48.75563,1097,2022-08-04T10:52:51.250Z
1.978807,48.754532,1128,2022-08-04T10:52:57.280Z
1.971342,48.753433,1158,2022-08-04T10:53:03.360Z
1.963589,48.752297,1189,2022-08-04T10:53:09.540Z
1.957662,48.751412,1204,2022-08-04T10:53:14.340Z
1.953398,48.750574,1204,2022-08-04T10:53:17.830Z
1.951341,48.749954,1204,2022-08-04T10:53:19.700Z
1.949158,48.749176,1212,2022-08-04T10:53:21.760Z
1.947115,48.748215,1212,2022-08-04T10:53:23.730Z
1.944932,48.746841,1212,2022-08-04T10:53:26.170Z
1.94299,48.745267,1212,2022-08-04T10:53:28.680Z
1.941481,48.743683,1212,2022-08-04T10:53:30.830Z
1.940636,48.742447,1212,2022-08-04T10:53:32.470Z
1.939521,48.740379,1212,2022-08-04T10:53:35.010Z
1.939016,48.73851,1212,2022-08-04T10:53:37.270Z
