long,lat,elevation,time
2.195928,48.774216,99,2022-07-05T07:10:08.700Z
2.194801,48.774216,114,2022-07-05T07:10:09.800Z
2.193652,48.774176,130,2022-07-05T07:10:10.900Z
2.192495,48.774176,145,2022-07-05T07:10:11.900Z
2.191068,48.774124,175,2022-07-05T07:10:13.500Z
2.188809,48.774083,206,2022-07-05T07:10:15.600Z
2.186984,48.774033,236,2022-07-05T07:10:17.400Z
2.185364,48.774033,259,2022-07-05T07:10:18.800Z
2.183533,48.77399,290,2022-07-05T07:10:20.700Z
2.18187,48.773943,320,2022-07-05T07:10:22.300Z
2.180011,48.773895,351,2022-07-05T07:10:24.200Z
2.178392,48.773849,381,2022-07-05T07:10:25.800Z
2.176279,48.773804,411,2022-07-05T07:10:27.700Z
2.174353,48.773757,442,2022-07-05T07:10:29.600Z
2.172402,48.773664,472,2022-07-05T07:10:31.600Z
2.170739,48.773618,503,2022-07-05T07:10:33.200Z
2.168571,48.773571,533,2022-07-05T07:10:35.200Z
2.166981,48.773524,564,2022-07-05T07:10:36.700Z
2.164885,48.773431,594,2022-07-05T07:10:38.800Z
2.163391,48.773392,617,2022-07-05T07:10:40.200Z
2.161349,48.773346,655,2022-07-05T07:10:42.200Z
2.159659,48.7733,678,2022-07-05T07:10:43.800Z
2.157475,48.773254,709,2022-07-05T07:10:45.800Z
2.155127,48.773199,739,2022-07-05T07:10:48.100Z
2.152194,48.773117,762,2022-07-05T07:10:50.500Z
2.149517,48.773071,792,2022-07-05T07:10:53.200Z
2.1467,48.773026,823,2022-07-05T07:10:55.500Z
2.144376,48.772934,846,2022-07-05T07:10:57.500Z
2.141982,48.772888,869,2022-07-05T07:10:59.500Z
2.139094,48.772842,899,2022-07-05T07:11:01.800Z
2.13508,48.772751,930,2022-07-05T07:11:05.000Z
2.131348,48.77264,960,2022-07-05T07:11:08.100Z
2.127545,48.772522,991,2022-07-05T07:11:11.000Z
2.123614,48.772454,1021,2022-07-05T07:11:14.200Z
2.119657,48.772385,1052,2022-07-05T07:11:17.000Z
2.116347,48.772339,1074,2022-07-05T07:11:19.500Z
2.11353,48.772247,1097,2022-07-05T07:11:21.500Z
2.11015,48.772202,1120,2022-07-05T07:11:23.900Z
2.107192,48.77211,1135,2022-07-05T07:11:25.800Z
2.104797,48.772018,1158,2022-07-05T07:11:27.500Z
2.101769,48.771835,1181,2022-07-05T07:11:29.400Z
2.098967,48.771616,1196,2022-07-05T07:11:31.300Z
2.094867,48.771286,1227,2022-07-05T07:11:33.800Z
2.091378,48.770871,1250,2022-07-05T07:11:36.000Z
2.087191,48.77037,1280,2022-07-05T07:11:38.600Z
2.08198,48.769592,1311,2022-07-05T07:11:41.900Z
2.077067,48.768823,1341,2022-07-05T07:11:44.900Z
2.07205,48.768082,1372,2022-07-05T07:11:47.900Z
2.066948,48.767333,1402,2022-07-05T07:11:50.900Z
2.062828,48.766728,1425,2022-07-05T07:11:53.300Z
2.058708,48.766123,1455,2022-07-05T07:11:55.600Z
2.053142,48.765285,1486,2022-07-05T07:11:58.900Z
2.047894,48.764557,1516,2022-07-05T07:12:02.000Z
2.042662,48.763748,1547,2022-07-05T07:12:04.900Z
2.037471,48.763,1577,2022-07-05T07:12:07.900Z
2.032541,48.762268,1608,2022-07-05T07:12:10.700Z
2.027267,48.761467,1638,2022-07-05T07:12:13.800Z
2.021629,48.760676,1669,2022-07-05T07:12:17.000Z
2.016343,48.759888,1699,2022-07-05T07:12:20.000Z
2.010709,48.759018,1730,2022-07-05T07:12:23.000Z
2.005709,48.758331,1760,2022-07-05T07:12:25.800Z
2.000779,48.757553,1783,2022-07-05T07:12:28.700Z
1.996187,48.756905,1806,2022-07-05T07:12:31.300Z
1.991554,48.756226,1814,2022-07-05T07:12:33.800Z
1.980919,48.754623,1821,2022-07-05T07:12:40.000Z
1.945881,48.74941,1829,2022-07-05T07:12:59.600Z
1.936485,48.747967,1836,2022-07-05T07:13:05.000Z
1.934016,48.74762,1836,2022-07-05T07:13:06.300Z
1.930425,48.74707,1844,2022-07-05T07:13:08.400Z
1.925636,48.746384,1867,2022-07-05T07:13:11.000Z
1.919861,48.745514,1897,2022-07-05T07:13:14.300Z
1.914657,48.744709,1928,2022-07-05T07:13:17.200Z
1.909086,48.743912,1958,2022-07-05T07:13:20.400Z
1.904466,48.743219,1989,2022-07-05T07:13:23.000Z
1.899226,48.742447,2019,2022-07-05T07:13:25.900Z
1.893522,48.741577,2050,2022-07-05T07:13:29.000Z
1.888381,48.740799,2080,2022-07-05T07:13:31.900Z
1.882927,48.740007,2111,2022-07-05T07:13:35.000Z
1.872302,48.738377,2172,2022-07-05T07:13:40.900Z
1.861532,48.736795,2233,2022-07-05T07:13:47.000Z
1.850763,48.735165,2294,2022-07-05T07:13:52.800Z
1.839704,48.733536,2355,2022-07-05T07:13:59.000Z
1.831031,48.732605,2400,2022-07-05T07:14:03.600Z
1.821759,48.731918,2454,2022-07-05T07:14:08.700Z
1.812383,48.731627,2499,2022-07-05T07:14:13.700Z
1.803131,48.73172,2553,2022-07-05T07:14:18.500Z
1.792,48.732186,2614,2022-07-05T07:14:24.400Z
1.780349,48.732788,2675,2022-07-05T07:14:30.600Z
1.76894,48.733383,2736,2022-07-05T07:14:36.600Z
1.757531,48.733932,2797,2022-07-05T07:14:42.600Z
1.746756,48.734482,2858,2022-07-05T07:14:48.300Z
1.735276,48.735077,2918,2022-07-05T07:14:54.300Z
1.723727,48.735626,2979,2022-07-05T07:15:00.300Z
1.711843,48.736236,3040,2022-07-05T07:15:06.500Z
1.700627,48.736816,3101,2022-07-05T07:15:12.400Z
1.689007,48.737411,3162,2022-07-05T07:15:18.300Z
1.676331,48.738052,3223,2022-07-05T07:15:24.700Z
1.664358,48.738693,3284,2022-07-05T07:15:30.700Z
1.653161,48.739243,3345,2022-07-05T07:15:36.200Z
