registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFB,3b76b3,2022-08-19,2022-08-19 08:18:21.955000+00:00,2022-08-19 08:19:40.103000+00:00,1.3,1min,Calvi-Sainte-Catherine Airport,Calvi-Sainte-Catherine Airport,LFKC,LFKC,42.812668,8.569336,42.79834,8.682632,0.1,output/F-RAFB/2022-08-19/leg_1/F-RAFB_baro_2022-08-19_leg_1.csv
F-RAFB,3b76b3,2022-08-18,2022-08-18 13:50:51.665000+00:00,2022-08-18 15:01:46.895000+00:00,70.92,1h11min,Villacoublay-Velizy (BA 107) Air Base,Ajaccio-Napoleon Bonaparte Airport,LFPV,LFKJ,48.774307,2.198815,41.982468,8.357287,4.5,output/F-RAFB/2022-08-18/leg_1/F-RAFB_baro_2022-08-18_leg_1.csv
F-RAFB,3b76b3,2022-08-16,2022-08-16 12:55:14.274000+00:00,2022-08-16 13:52:34.484000+00:00,57.33,57min,Grenoble-Isère Airport,Villacoublay-Velizy (BA 107) Air Base,LFLS,LFPV,45.400681,5.354527,48.77449,2.208463,3.6,output/F-RAFB/2022-08-16/leg_2/F-RAFB_baro_2022-08-16_leg_2.csv
F-RAFB,3b76b3,2022-08-16,2022-08-16 11:53:43.333000+00:00,2022-08-16 12:54:14.583000+00:00,60.52,1h01min,Villacoublay-Velizy (BA 107) Air Base,Grenoble-Isère Airport,LFPV,LFLS,48.774353,2.201984,45.397277,5.314904,3.8,output/F-RAFB/2022-08-16/leg_1/F-RAFB_baro_2022-08-16_leg_1.csv
F-RAFB,3b76b3,2022-07-28,2022-07-28 13:03:03.700000+00:00,2022-07-28 17:52:13.820000+00:00,289.17,4h49min,Osvaldo Vieira International Airport,Villacoublay-Velizy (BA 107) Air Base,GGOV,LFPV,12.022627,-15.623281,48.77417,2.190505,15.0,output/F-RAFB/2022-07-28/leg_1/F-RAFB_baro_2022-07-28_leg_1.csv
F-RAFB,3b76b3,2022-07-27,2022-07-27 20:10:16.240000+00:00,2022-07-27 22:37:04.850000+00:00,146.8,2h27min,Cadjehoun Airport,A/C in cruise,DBBB,A/C in cruise,6.332175,2.239838,12.1749,-14.670844,7.6,output/F-RAFB/2022-07-27/leg_1/F-RAFB_baro_2022-07-27_leg_1.csv
F-RAFB,3b76b3,2022-07-26,2022-07-26 22:25:35.150000+00:00,2022-07-26 23:01:32.050000+00:00,35.93,36min,A/C in cruise,Cadjehoun Airport,A/C in cruise,DBBB,4.866524,6.046269,6.523087,2.602224,1.9,output/F-RAFB/2022-07-26/leg_1/F-RAFB_baro_2022-07-26_leg_1.csv
F-RAFB,3b76b3,2022-07-25,2022-07-25 15:24:31.910000+00:00,2022-07-25 18:52:58.770000+00:00,208.43,3h28min,Paris-Orly Airport,A/C in cruise,LFPO,A/C in cruise,48.723481,2.380636,22.630634,10.501556,10.8,output/F-RAFB/2022-07-25/leg_2/F-RAFB_baro_2022-07-25_leg_2.csv
F-RAFB,3b76b3,2022-07-25,2022-07-25 12:54:14.040000+00:00,2022-07-25 13:05:18.820000+00:00,11.07,11min,Villacoublay-Velizy (BA 107) Air Base,Paris-Orly Airport,LFPV,LFPO,48.774362,2.200663,48.725203,2.390032,0.6,output/F-RAFB/2022-07-25/leg_1/F-RAFB_baro_2022-07-25_leg_1.csv
F-RAFB,3b76b3,2022-07-22,2022-07-22 19:15:18.830000+00:00,2022-07-22 19:58:26.240000+00:00,43.12,43min,Lyon-Bron Airport,Villacoublay-Velizy (BA 107) Air Base,LFLY,LFPV,45.72696,4.944397,48.774502,2.207746,2.2,output/F-RAFB/2022-07-22/leg_2/F-RAFB_baro_2022-07-22_leg_2.csv
F-RAFB,3b76b3,2022-07-22,2022-07-22 14:13:56.370000+00:00,2022-07-22 15:00:31.900000+00:00,46.58,47min,Villacoublay-Velizy (BA 107) Air Base,Lyon-Bron Airport,LFPV,LFLY,48.774409,2.204277,45.7229,4.946058,2.4,output/F-RAFB/2022-07-22/leg_1/F-RAFB_baro_2022-07-22_leg_1.csv
F-RAFB,3b76b3,2022-07-21,2022-07-21 19:17:04.440000+00:00,2022-07-21 20:13:32.250000+00:00,56.45,56min,Tarbes-Lourdes-Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBT,LFPV,43.168762,-0.011306,48.77417,2.189448,2.9,output/F-RAFB/2022-07-21/leg_1/F-RAFB_baro_2022-07-21_leg_1.csv
F-RAFB,3b76b3,2022-07-20,2022-07-20 18:51:06.940000+00:00,2022-07-20 19:17:31.700000+00:00,26.4,26min,Bordeaux-Merignac Airport,Tarbes-Lourdes-Pyrenees Airport,LFBD,LFBT,44.832092,-0.710384,43.193401,0.001177,1.4,output/F-RAFB/2022-07-20/leg_3/F-RAFB_baro_2022-07-20_leg_3.csv
F-RAFB,3b76b3,2022-07-20,2022-07-20 13:55:21.560000+00:00,2022-07-20 14:12:13.120000+00:00,16.85,17min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.531662,-1.130153,44.834414,-0.707077,0.9,output/F-RAFB/2022-07-20/leg_2/F-RAFB_baro_2022-07-20_leg_2.csv
F-RAFB,3b76b3,2022-07-20,2022-07-20 12:14:21.990000+00:00,2022-07-20 13:08:53.970000+00:00,54.52,55min,Villacoublay-Velizy (BA 107) Air Base,Bordeaux-Merignac Airport,LFPV,LFBD,48.774269,2.197699,44.54146,-1.109485,2.8,output/F-RAFB/2022-07-20/leg_1/F-RAFB_baro_2022-07-20_leg_1.csv
