long,lat,elevation,time
9.468592,41.924652,838,2022-07-27T13:17:51.830Z
9.468592,41.924652,838,2022-07-27T13:17:51.830Z
9.469403,41.926987,869,2022-07-27T13:17:53.830Z
9.470215,41.929321,899,2022-07-27T13:17:55.830Z
9.470839,41.931244,930,2022-07-27T13:17:57.630Z
9.473086,41.938293,1059,2022-07-27T13:18:03.640Z
9.476283,41.950363,1295,2022-07-27T13:18:13.640Z
9.476858,41.952784,1334,2022-07-27T13:18:15.770Z
9.477331,41.954453,1356,2022-07-27T13:18:17.040Z
9.478327,41.958091,1387,2022-07-27T13:18:20.210Z
9.479029,41.960604,1417,2022-07-27T13:18:22.250Z
9.479732,41.963025,1448,2022-07-27T13:18:24.250Z
9.48039,41.965256,1478,2022-07-27T13:18:26.040Z
9.481264,41.968323,1524,2022-07-27T13:18:28.450Z
9.481638,41.969742,1539,2022-07-27T13:18:29.650Z
9.482223,41.971591,1562,2022-07-27T13:18:30.850Z
9.482798,41.973499,1585,2022-07-27T13:18:32.440Z
9.483199,41.974823,1608,2022-07-27T13:18:33.610Z
9.483573,41.976288,1631,2022-07-27T13:18:34.650Z
9.484267,41.97862,1661,2022-07-27T13:18:36.440Z
9.485736,41.983741,1737,2022-07-27T13:18:40.650Z
9.486311,41.985696,1760,2022-07-27T13:18:42.050Z
9.487943,41.991623,1844,2022-07-27T13:18:46.650Z
9.488942,41.995239,1913,2022-07-27T13:18:49.650Z
9.490565,42.001465,2012,2022-07-27T13:18:54.250Z
9.492063,42.007004,2103,2022-07-27T13:18:58.790Z
9.492562,42.009064,2134,2022-07-27T13:19:00.260Z
9.493848,42.013953,2210,2022-07-27T13:19:04.060Z
9.495683,42.020874,2316,2022-07-27T13:19:09.740Z
9.496994,42.026047,2393,2022-07-27T13:19:13.560Z
9.498242,42.030762,2454,2022-07-27T13:19:17.070Z
9.499616,42.036026,2515,2022-07-27T13:19:21.080Z
9.501321,42.042583,2591,2022-07-27T13:19:25.910Z
9.503621,42.051614,2705,2022-07-27T13:19:32.730Z
9.504771,42.05599,2766,2022-07-27T13:19:36.060Z
9.507856,42.067932,2926,2022-07-27T13:19:45.290Z
9.50822,42.069304,2941,2022-07-27T13:19:45.950Z
9.517593,42.105377,3376,2022-07-27T13:20:12.710Z
9.521339,42.119797,3551,2022-07-27T13:20:23.110Z
9.523294,42.127308,3612,2022-07-27T13:20:28.740Z
9.524061,42.130148,3635,2022-07-27T13:20:30.510Z
9.524955,42.133593,3665,2022-07-27T13:20:32.890Z
9.527706,42.144241,3780,2022-07-27T13:20:40.060Z
9.53032,42.154355,3879,2022-07-27T13:20:47.080Z
9.533706,42.16725,4001,2022-07-27T13:20:56.010Z
9.534697,42.171066,4039,2022-07-27T13:20:58.470Z
9.537346,42.181309,4161,2022-07-27T13:21:05.620Z
9.538305,42.184893,4199,2022-07-27T13:21:08.080Z
9.539071,42.187872,4214,2022-07-27T13:21:09.990Z
9.540253,42.192352,4244,2022-07-27T13:21:13.100Z
