registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFC,3b76a5,2022-08-03,2022-08-03 10:46:06.990000+00:00,2022-08-03 12:35:20.940000+00:00,109.22,1h49min,Stornoway Airport,Villacoublay-Velizy (BA 107) Air Base,EGPO,LFPV,58.205429,-6.217642,48.774307,2.197829,5.7,output/F-RAFC/2022-08-03/leg_2/F-RAFC_baro_2022-08-03_leg_2.csv
F-RAFC,3b76a5,2022-08-03,2022-08-03 07:42:48.320000+00:00,2022-08-03 10:32:22.900000+00:00,169.57,2h50min,Villacoublay-Velizy (BA 107) Air Base,Stornoway Airport,LFPV,EGPO,48.774223,2.194591,58.281372,-6.102551,8.8,output/F-RAFC/2022-08-03/leg_1/F-RAFC_baro_2022-08-03_leg_1.csv
F-RAFC,3b76a5,2022-08-02,2022-08-02 10:53:22.790000+00:00,2022-08-02 11:50:56.750000+00:00,57.55,58min,Marseille Provence Airport,Villacoublay-Velizy (BA 107) Air Base,LFML,LFPV,43.544358,4.901537,48.774549,2.210131,3.0,output/F-RAFC/2022-08-02/leg_2/F-RAFC_baro_2022-08-02_leg_2.csv
F-RAFC,3b76a5,2022-08-02,2022-08-02 09:12:27.740000+00:00,2022-08-02 10:09:13.420000+00:00,56.75,57min,Villacoublay-Velizy (BA 107) Air Base,Marseille Provence Airport,LFPV,LFML,48.774549,2.210203,43.488449,4.838693,3.0,output/F-RAFC/2022-08-02/leg_1/F-RAFC_baro_2022-08-02_leg_1.csv
F-RAFC,3b76a5,2022-07-27,2022-07-27 14:26:29.510000+00:00,2022-07-27 15:34:10.860000+00:00,67.68,1h08min,Marseille Provence Airport,Villacoublay-Velizy (BA 107) Air Base,LFML,LFPV,43.611969,5.106662,48.774445,2.205505,3.5,output/F-RAFC/2022-07-27/leg_5/F-RAFC_baro_2022-07-27_leg_5.csv
F-RAFC,3b76a5,2022-07-27,2022-07-27 13:17:51.830000+00:00,2022-07-27 14:06:08.850000+00:00,48.28,48min,Solenzara (BA 126) Air Base,Marseille Provence Airport,LFKS,LFML,41.924652,9.468592,43.585324,5.12146,2.5,output/F-RAFC/2022-07-27/leg_4/F-RAFC_baro_2022-07-27_leg_4.csv
F-RAFC,3b76a5,2022-07-27,2022-07-27 09:28:35.440000+00:00,2022-07-27 10:08:54.910000+00:00,40.32,40min,Marseille Provence Airport,Solenzara (BA 126) Air Base,LFML,LFKS,43.613068,5.105832,41.988489,9.403914,2.1,output/F-RAFC/2022-07-27/leg_3/F-RAFC_baro_2022-07-27_leg_3.csv
F-RAFC,3b76a5,2022-07-27,2022-07-27 08:03:04.590000+00:00,2022-07-27 08:57:19.600000+00:00,54.25,54min,Orleans   Saint-Denis-de-l'Hôtel Airport,Marseille Provence Airport,LFOZ,LFML,47.990795,1.772743,43.581482,5.120779,2.8,output/F-RAFC/2022-07-27/leg_2/F-RAFC_baro_2022-07-27_leg_2.csv
F-RAFC,3b76a5,2022-07-27,2022-07-27 06:22:49.210000+00:00,2022-07-27 06:54:50.610000+00:00,32.02,32min,Villacoublay-Velizy (BA 107) Air Base,Orleans   Saint-Denis-de-l'Hôtel Airport,LFPV,LFOZ,48.774409,2.203337,47.992355,1.778961,1.7,output/F-RAFC/2022-07-27/leg_1/F-RAFC_baro_2022-07-27_leg_1.csv
F-RAFC,3b76a5,2022-07-26,2022-07-26 09:25:43.160000+00:00,2022-07-26 10:28:11.860000+00:00,62.47,1h02min,Metz-Nancy-Lorraine Airport,Villacoublay-Velizy (BA 107) Air Base,LFJL,LFPV,48.976547,6.244389,48.774502,2.209625,3.2,output/F-RAFC/2022-07-26/leg_3/F-RAFC_baro_2022-07-26_leg_3.csv
F-RAFC,3b76a5,2022-07-26,2022-07-26 08:05:34.300000+00:00,2022-07-26 09:01:57.330000+00:00,56.38,56min,EuroAirport Basel-Mulhouse-Freiburg Airport,Metz-Nancy-Lorraine Airport,LFSB,LFJL,47.607903,7.516691,49.000168,6.273757,2.9,output/F-RAFC/2022-07-26/leg_2/F-RAFC_baro_2022-07-26_leg_2.csv
F-RAFC,3b76a5,2022-07-26,2022-07-26 06:37:22.020000+00:00,2022-07-26 07:27:02.990000+00:00,49.67,50min,Villacoublay-Velizy (BA 107) Air Base,EuroAirport Basel-Mulhouse-Freiburg Airport,LFPV,LFSB,48.774223,2.194447,47.600555,7.521858,2.6,output/F-RAFC/2022-07-26/leg_1/F-RAFC_baro_2022-07-26_leg_1.csv
F-RAFC,3b76a5,2022-07-25,2022-07-25 13:42:37.370000+00:00,2022-07-25 15:04:07+00:00,81.48,1h21min,Berlin-Schonefeld Airport,Villacoublay-Velizy (BA 107) Air Base,EDDB,LFPV,52.376761,13.523228,48.774502,2.209553,4.2,output/F-RAFC/2022-07-25/leg_1/F-RAFC_baro_2022-07-25_leg_1.csv
F-RAFC,3b76a5,2022-07-24,2022-07-24 16:02:40.380000+00:00,2022-07-24 17:19:55.110000+00:00,77.23,1h17min,Villacoublay-Velizy (BA 107) Air Base,Berlin-Schonefeld Airport,LFPV,EDDB,48.774261,2.195294,52.372897,13.506906,4.0,output/F-RAFC/2022-07-24/leg_1/F-RAFC_baro_2022-07-24_leg_1.csv
F-RAFC,3b76a5,2022-07-23,2022-07-23 08:52:10.710000+00:00,2022-07-23 10:57:31.460000+00:00,125.33,2h05min,Villacoublay-Velizy (BA 107) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFPV,LFPV,48.774261,2.195294,48.774582,2.21128,6.5,output/F-RAFC/2022-07-23/leg_1/F-RAFC_baro_2022-07-23_leg_1.csv
