long,lat,elevation,time
4.826202,44.302689,2134,2022-07-04T10:33:51.201Z
4.826202,44.302689,2134,2022-07-04T10:33:51.201Z
4.821859,44.326296,2126,2022-07-04T10:34:09.701Z
4.818878,44.342789,2126,2022-07-04T10:34:22.601Z
4.818443,44.345103,2134,2022-07-04T10:34:24.501Z
4.818224,44.346405,2134,2022-07-04T10:34:25.601Z
4.817832,44.348419,2141,2022-07-04T10:34:27.301Z
4.817505,44.350224,2156,2022-07-04T10:34:28.601Z
4.817036,44.352784,2172,2022-07-04T10:34:30.501Z
4.816786,44.354004,2179,2022-07-04T10:34:31.601Z
4.816567,44.355298,2195,2022-07-04T10:34:32.601Z
4.816197,44.357162,2210,2022-07-04T10:34:34.001Z
4.815294,44.362048,2271,2022-07-04T10:34:37.801Z
4.814423,44.367029,2324,2022-07-04T10:34:41.701Z
4.813516,44.371902,2385,2022-07-04T10:34:46.101Z
4.812414,44.377783,2446,2022-07-04T10:34:50.101Z
4.811554,44.38266,2507,2022-07-04T10:34:54.301Z
4.810573,44.387741,2568,2022-07-04T10:34:58.001Z
4.809801,44.392121,2621,2022-07-04T10:35:01.301Z
4.808611,44.398636,2682,2022-07-04T10:35:06.401Z
4.807523,44.40455,2743,2022-07-04T10:35:11.101Z
4.806452,44.410323,2804,2022-07-04T10:35:15.501Z
4.805581,44.415025,2865,2022-07-04T10:35:19.001Z
4.804491,44.421158,2926,2022-07-04T10:35:23.901Z
4.803437,44.426709,2987,2022-07-04T10:35:27.801Z
4.802298,44.433133,3048,2022-07-04T10:35:32.501Z
4.801549,44.43718,3101,2022-07-04T10:35:35.701Z
4.800556,44.442304,3155,2022-07-04T10:35:39.601Z
4.799954,44.445609,3200,2022-07-04T10:35:41.701Z
4.799753,44.44668,3216,2022-07-04T10:35:42.601Z
4.799351,44.449008,3231,2022-07-04T10:35:44.501Z
4.798882,44.451708,3254,2022-07-04T10:35:46.301Z
4.798083,44.455948,3269,2022-07-04T10:35:49.401Z
4.796939,44.462042,3292,2022-07-04T10:35:53.401Z
4.795599,44.469398,3315,2022-07-04T10:35:58.401Z
4.794326,44.476101,3338,2022-07-04T10:36:02.701Z
4.792589,44.485703,3360,2022-07-04T10:36:08.801Z
4.791609,44.490829,3383,2022-07-04T10:36:12.001Z
4.790642,44.496398,3414,2022-07-04T10:36:15.401Z
4.789581,44.50209,3444,2022-07-04T10:36:19.201Z
4.788096,44.510224,3505,2022-07-04T10:36:24.101Z
4.786891,44.516927,3566,2022-07-04T10:36:27.801Z
4.785592,44.523926,3627,2022-07-04T10:36:31.901Z
4.783273,44.536386,3741,2022-07-04T10:36:39.501Z
4.780928,44.549374,3863,2022-07-04T10:36:47.201Z
4.778383,44.563014,3985,2022-07-04T10:36:55.301Z
4.775234,44.577259,4107,2022-07-04T10:37:03.701Z
4.771467,44.593414,4229,2022-07-04T10:37:13.001Z
4.76787,44.609528,4351,2022-07-04T10:37:22.301Z
4.76465,44.623998,4473,2022-07-04T10:37:30.501Z
4.761032,44.640244,4595,2022-07-04T10:37:39.801Z
4.757472,44.656448,4717,2022-07-04T10:37:48.701Z
4.754203,44.671005,4839,2022-07-04T10:37:56.801Z
4.751195,44.684692,4953,2022-07-04T10:38:04.301Z
4.748317,44.697784,5075,2022-07-04T10:38:11.501Z
4.745244,44.7117,5197,2022-07-04T10:38:19.201Z
4.742409,44.724364,5319,2022-07-04T10:38:26.101Z
4.738704,44.741638,5441,2022-07-04T10:38:35.401Z
4.737653,44.749502,5494,2022-07-04T10:38:39.701Z
4.737658,44.756012,5532,2022-07-04T10:38:43.101Z
4.738377,44.762924,5570,2022-07-04T10:38:46.701Z
4.740012,44.769974,5608,2022-07-04T10:38:50.401Z
4.742105,44.776016,5646,2022-07-04T10:38:53.601Z
4.745826,44.783951,5700,2022-07-04T10:38:57.901Z
4.749298,44.790298,5730,2022-07-04T10:39:01.301Z
4.757348,44.803875,5791,2022-07-04T10:39:08.601Z
4.764382,44.81421,5845,2022-07-04T10:39:14.301Z
4.771952,44.824079,5890,2022-07-04T10:39:19.801Z
4.780884,44.834335,5944,2022-07-04T10:39:25.701Z
4.797363,44.851089,6035,2022-07-04T10:39:35.601Z
4.816786,44.870773,6149,2022-07-04T10:39:47.201Z
4.834377,44.889359,6264,2022-07-04T10:39:58.001Z
4.852809,44.908199,6378,2022-07-04T10:40:09.101Z
4.870226,44.925935,6500,2022-07-04T10:40:19.301Z
4.889439,44.945435,6614,2022-07-04T10:40:30.801Z
4.905657,44.961868,6706,2022-07-04T10:40:40.501Z
4.92844,44.984964,6805,2022-07-04T10:40:54.001Z
4.950279,45.007122,6911,2022-07-04T10:41:06.601Z
4.968098,45.025231,7033,2022-07-04T10:41:17.201Z
4.974194,45.031423,7064,2022-07-04T10:41:20.701Z
4.975601,45.032819,7079,2022-07-04T10:41:21.801Z
4.97895,45.036264,7109,2022-07-04T10:41:23.501Z
4.983707,45.041106,7163,2022-07-04T10:41:26.301Z
4.988055,45.045456,7216,2022-07-04T10:41:29.201Z
4.997602,45.055069,7338,2022-07-04T10:41:34.601Z
5.008065,45.065643,7452,2022-07-04T10:41:40.901Z
5.011038,45.068618,7490,2022-07-04T10:41:42.801Z
5.025984,45.083633,7612,2022-07-04T10:41:51.801Z
5.039193,45.097,7734,2022-07-04T10:42:00.001Z
5.054823,45.112885,7841,2022-07-04T10:42:09.301Z
5.061428,45.120483,7887,2022-07-04T10:42:14.001Z
5.067902,45.129318,7940,2022-07-04T10:42:18.701Z
5.073199,45.138062,8001,2022-07-04T10:42:23.301Z
5.078363,45.148362,8070,2022-07-04T10:42:29.701Z
5.08399,45.160791,8153,2022-07-04T10:42:35.701Z
5.085493,45.164108,8176,2022-07-04T10:42:37.601Z
5.094125,45.184296,8275,2022-07-04T10:42:47.301Z
5.097723,45.194961,8313,2022-07-04T10:42:52.701Z
5.100468,45.205811,8352,2022-07-04T10:42:58.101Z
5.101944,45.214327,8382,2022-07-04T10:43:02.501Z
5.103819,45.232203,8473,2022-07-04T10:43:11.201Z
5.105831,45.255615,8588,2022-07-04T10:43:22.601Z
5.108174,45.282432,8702,2022-07-04T10:43:35.701Z
5.109231,45.297455,8778,2022-07-04T10:43:42.901Z
5.10897,45.306747,8816,2022-07-04T10:43:47.501Z
5.107662,45.318924,8870,2022-07-04T10:43:53.301Z
5.105373,45.332062,8923,2022-07-04T10:43:59.901Z
5.10335,45.341274,8969,2022-07-04T10:44:04.501Z
5.099095,45.357239,9053,2022-07-04T10:44:12.301Z
5.094307,45.372092,9114,2022-07-04T10:44:19.801Z
5.088546,45.386896,9182,2022-07-04T10:44:27.201Z
5.082027,45.401321,9251,2022-07-04T10:44:34.701Z
5.074679,45.415572,9304,2022-07-04T10:44:42.101Z
5.06679,45.42897,9357,2022-07-04T10:44:49.101Z
5.057046,45.443665,9426,2022-07-04T10:44:57.101Z
5.046321,45.458038,9510,2022-07-04T10:45:05.001Z
5.036774,45.470169,9571,2022-07-04T10:45:11.901Z
5.016763,45.495941,9662,2022-07-04T10:45:26.401Z
5.005646,45.510315,9738,2022-07-04T10:45:34.301Z
5.002834,45.513885,9746,2022-07-04T10:45:36.401Z
4.998511,45.51943,9754,2022-07-04T10:45:39.501Z
4.970695,45.55481,9746,2022-07-04T10:45:59.001Z
4.942374,45.590652,9746,2022-07-04T10:46:18.501Z
4.913567,45.627012,9754,2022-07-04T10:46:38.201Z
4.884796,45.663323,9754,2022-07-04T10:46:58.101Z
4.855408,45.700192,9754,2022-07-04T10:47:18.001Z
4.826431,45.73655,9754,2022-07-04T10:47:37.601Z
4.797006,45.773392,9754,2022-07-04T10:47:57.601Z
4.767798,45.809921,9754,2022-07-04T10:48:17.001Z
4.738591,45.846313,9754,2022-07-04T10:48:36.601Z
4.70977,45.882258,9754,2022-07-04T10:48:56.201Z
4.679901,45.91936,9754,2022-07-04T10:49:16.101Z
4.650901,45.955444,9754,2022-07-04T10:49:35.701Z
4.62133,45.992121,9754,2022-07-04T10:49:55.501Z
4.591942,46.028525,9754,2022-07-04T10:50:15.101Z
4.563011,46.064575,9754,2022-07-04T10:50:34.601Z
4.533669,46.100922,9754,2022-07-04T10:50:54.101Z
4.503777,46.137783,9754,2022-07-04T10:51:14.101Z
4.47377,46.175025,9754,2022-07-04T10:51:33.901Z
4.444372,46.21225,9754,2022-07-04T10:51:53.901Z
4.415131,46.249509,9754,2022-07-04T10:52:13.701Z
4.385674,46.287123,9754,2022-07-04T10:52:33.601Z
4.356079,46.324173,9754,2022-07-04T10:52:53.501Z
4.326141,46.36142,9754,2022-07-04T10:53:13.301Z
4.296391,46.398651,9761,2022-07-04T10:53:33.101Z
4.26705,46.435638,9754,2022-07-04T10:53:52.701Z
4.236971,46.473495,9754,2022-07-04T10:54:12.701Z
4.207362,46.510712,9754,2022-07-04T10:54:32.501Z
4.189007,46.534241,9754,2022-07-04T10:54:44.801Z
4.177689,46.550329,9761,2022-07-04T10:54:53.001Z
4.16134,46.575577,9754,2022-07-04T10:55:05.701Z
4.145897,46.600931,9754,2022-07-04T10:55:18.201Z
4.123357,46.640762,9754,2022-07-04T10:55:37.701Z
4.099642,46.680862,9754,2022-07-04T10:55:57.401Z
4.076397,46.720917,9761,2022-07-04T10:56:17.001Z
4.053062,46.76149,9754,2022-07-04T10:56:36.701Z
4.029922,46.801804,9754,2022-07-04T10:56:56.301Z
4.006439,46.84291,9754,2022-07-04T10:57:16.201Z
3.983505,46.882874,9754,2022-07-04T10:57:35.701Z
3.960297,46.923248,9754,2022-07-04T10:57:55.401Z
3.937088,46.963715,9754,2022-07-04T10:58:14.901Z
3.914223,47.003494,9754,2022-07-04T10:58:34.501Z
3.890396,47.04483,9754,2022-07-04T10:58:54.301Z
3.866906,47.085494,9754,2022-07-04T10:59:14.101Z
3.843032,47.126879,9754,2022-07-04T10:59:34.101Z
3.81958,47.167379,9754,2022-07-04T10:59:53.701Z
3.795424,47.20895,9754,2022-07-04T11:00:13.601Z
3.772087,47.24913,9754,2022-07-04T11:00:33.101Z
3.758629,47.272247,9754,2022-07-04T11:00:44.401Z
3.755676,47.277374,9746,2022-07-04T11:00:46.801Z
3.75341,47.281311,9738,2022-07-04T11:00:48.801Z
3.751007,47.285431,9723,2022-07-04T11:00:50.701Z
3.749084,47.288681,9708,2022-07-04T11:00:52.301Z
3.746408,47.293256,9685,2022-07-04T11:00:54.601Z
3.742836,47.299393,9639,2022-07-04T11:00:57.601Z
3.74014,47.304103,9609,2022-07-04T11:00:59.801Z
3.737746,47.308153,9571,2022-07-04T11:01:01.801Z
3.735352,47.31225,9533,2022-07-04T11:01:03.801Z
3.731781,47.31839,9464,2022-07-04T11:01:06.801Z
3.726494,47.327499,9350,2022-07-04T11:01:11.201Z
3.721055,47.336829,9235,2022-07-04T11:01:15.701Z
3.715439,47.346359,9114,2022-07-04T11:01:20.501Z
3.711044,47.353821,8999,2022-07-04T11:01:24.001Z
3.70768,47.359634,8923,2022-07-04T11:01:26.801Z
3.701618,47.370021,8801,2022-07-04T11:01:31.801Z
3.695183,47.381012,8679,2022-07-04T11:01:37.301Z
3.688801,47.391994,8557,2022-07-04T11:01:42.701Z
3.682603,47.402561,8435,2022-07-04T11:01:47.901Z
3.676899,47.412197,8321,2022-07-04T11:01:52.701Z
3.670944,47.422394,8199,2022-07-04T11:01:57.501Z
3.664764,47.432968,8085,2022-07-04T11:02:02.701Z
3.658928,47.442764,7963,2022-07-04T11:02:07.601Z
3.652954,47.45307,7841,2022-07-04T11:02:12.701Z
3.646616,47.463777,7719,2022-07-04T11:02:17.801Z
3.640457,47.474258,7597,2022-07-04T11:02:22.901Z
3.634621,47.484146,7475,2022-07-04T11:02:27.801Z
3.628728,47.494176,7353,2022-07-04T11:02:32.601Z
3.622742,47.504379,7231,2022-07-04T11:02:37.701Z
3.617178,47.513867,7117,2022-07-04T11:02:42.301Z
3.611275,47.52388,6995,2022-07-04T11:02:47.501Z
3.605417,47.533838,6881,2022-07-04T11:02:52.201Z
3.599783,47.543382,6767,2022-07-04T11:02:57.001Z
3.594452,47.552444,6652,2022-07-04T11:03:01.701Z
3.588585,47.562282,6530,2022-07-04T11:03:06.701Z
3.582916,47.571945,6416,2022-07-04T11:03:11.701Z
3.579008,47.578528,6340,2022-07-04T11:03:15.201Z
3.576332,47.583091,6287,2022-07-04T11:03:17.601Z
3.573372,47.588104,6241,2022-07-04T11:03:20.201Z
3.569923,47.593891,6195,2022-07-04T11:03:23.201Z
3.567947,47.597214,6172,2022-07-04T11:03:24.901Z
3.565201,47.601791,6149,2022-07-04T11:03:27.201Z
3.562935,47.605637,6134,2022-07-04T11:03:29.301Z
3.561261,47.608462,6126,2022-07-04T11:03:30.801Z
3.559993,47.610603,6126,2022-07-04T11:03:31.801Z
3.558884,47.612503,6126,2022-07-04T11:03:32.801Z
3.556331,47.616887,6142,2022-07-04T11:03:35.201Z
3.555244,47.618729,6134,2022-07-04T11:03:36.301Z
3.545415,47.635322,6088,2022-07-04T11:03:44.801Z
3.543654,47.638208,6073,2022-07-04T11:03:46.401Z
3.540908,47.64291,6043,2022-07-04T11:03:48.801Z
3.529083,47.662857,5921,2022-07-04T11:03:59.301Z
3.516611,47.683504,5799,2022-07-04T11:04:10.301Z
3.507104,47.697516,5715,2022-07-04T11:04:18.001Z
3.492948,47.716742,5601,2022-07-04T11:04:28.801Z
3.4783,47.736015,5486,2022-07-04T11:04:39.701Z
3.464074,47.755799,5372,2022-07-04T11:04:50.701Z
3.450119,47.775238,5258,2022-07-04T11:05:01.801Z
3.434944,47.796204,5136,2022-07-04T11:05:13.801Z
3.42025,47.816299,5022,2022-07-04T11:05:25.401Z
3.406036,47.835571,4907,2022-07-04T11:05:36.701Z
3.392372,47.854111,4801,2022-07-04T11:05:47.501Z
3.385338,47.863661,4740,2022-07-04T11:05:53.201Z
3.377662,47.874042,4679,2022-07-04T11:05:59.801Z
3.369438,47.885147,4610,2022-07-04T11:06:06.701Z
3.358932,47.899384,4526,2022-07-04T11:06:15.801Z
3.350689,47.910492,4458,2022-07-04T11:06:23.301Z
3.348289,47.913803,4435,2022-07-04T11:06:25.501Z
3.346675,47.915986,4412,2022-07-04T11:06:27.001Z
3.338196,47.927353,4290,2022-07-04T11:06:34.701Z
3.32935,47.939262,4168,2022-07-04T11:06:42.901Z
3.320961,47.950516,4046,2022-07-04T11:06:50.701Z
3.312927,47.961365,3932,2022-07-04T11:06:58.401Z
3.304138,47.973105,3810,2022-07-04T11:07:06.601Z
3.296104,47.983932,3688,2022-07-04T11:07:14.301Z
3.292025,47.989399,3635,2022-07-04T11:07:18.301Z
3.288363,47.994286,3574,2022-07-04T11:07:21.701Z
3.284843,47.998993,3513,2022-07-04T11:07:25.201Z
3.281391,48.00369,3459,2022-07-04T11:07:28.601Z
3.277306,48.009183,3399,2022-07-04T11:07:32.601Z
3.274137,48.013419,3353,2022-07-04T11:07:35.801Z
3.270193,48.018726,3292,2022-07-04T11:07:39.701Z
3.266441,48.023712,3231,2022-07-04T11:07:43.701Z
3.261772,48.029938,3170,2022-07-04T11:07:48.301Z
3.258339,48.034561,3109,2022-07-04T11:07:52.001Z
3.2547,48.039442,3048,2022-07-04T11:07:56.001Z
3.250717,48.044724,2987,2022-07-04T11:07:59.901Z
3.247009,48.049759,2926,2022-07-04T11:08:04.001Z
3.243233,48.054794,2865,2022-07-04T11:08:08.001Z
3.239594,48.059692,2812,2022-07-04T11:08:12.001Z
3.23646,48.063836,2751,2022-07-04T11:08:15.601Z
3.232445,48.069189,2690,2022-07-04T11:08:19.801Z
3.229019,48.073837,2637,2022-07-04T11:08:23.601Z
3.225966,48.077894,2576,2022-07-04T11:08:27.001Z
3.222375,48.082736,2515,2022-07-04T11:08:31.101Z
3.218431,48.08795,2454,2022-07-04T11:08:35.401Z
3.215012,48.09256,2393,2022-07-04T11:08:39.201Z
3.211318,48.097446,2332,2022-07-04T11:08:43.301Z
3.208008,48.101898,2271,2022-07-04T11:08:47.101Z
3.20498,48.105919,2217,2022-07-04T11:08:50.601Z
3.202721,48.108948,2187,2022-07-04T11:08:53.201Z
3.200867,48.111374,2172,2022-07-04T11:08:55.401Z
3.19915,48.113525,2156,2022-07-04T11:08:57.701Z
3.197708,48.115311,2149,2022-07-04T11:08:58.901Z
3.196953,48.116226,2141,2022-07-04T11:08:59.801Z
3.194557,48.119046,2134,2022-07-04T11:09:02.301Z
3.192162,48.121747,2134,2022-07-04T11:09:04.901Z
3.183782,48.130638,2134,2022-07-04T11:09:13.001Z
3.174706,48.139755,2134,2022-07-04T11:09:21.801Z
3.154133,48.15978,2134,2022-07-04T11:09:40.601Z
3.13385,48.179937,2134,2022-07-04T11:09:59.601Z
3.112745,48.200653,2134,2022-07-04T11:10:19.201Z
3.091495,48.221461,2134,2022-07-04T11:10:38.901Z
3.070397,48.241974,2134,2022-07-04T11:10:58.301Z
3.068438,48.2439,2134,2022-07-04T11:11:00.201Z
3.047368,48.26445,2134,2022-07-04T11:11:19.401Z
3.026444,48.284772,2134,2022-07-04T11:11:38.701Z
3.004972,48.305695,2126,2022-07-04T11:11:58.401Z
2.983439,48.326576,2134,2022-07-04T11:12:18.101Z
2.962984,48.346361,2134,2022-07-04T11:12:36.801Z
2.941378,48.367264,2134,2022-07-04T11:12:56.701Z
2.921729,48.386307,2134,2022-07-04T11:13:14.701Z
2.900029,48.407251,2134,2022-07-04T11:13:34.501Z
2.898489,48.408829,2134,2022-07-04T11:13:36.001Z
2.897427,48.409812,2126,2022-07-04T11:13:37.101Z
2.888911,48.41803,2096,2022-07-04T11:13:44.701Z
2.879068,48.427548,2065,2022-07-04T11:13:53.801Z
2.87119,48.435136,2035,2022-07-04T11:14:00.901Z
2.863065,48.442978,2004,2022-07-04T11:14:08.501Z
2.855037,48.450668,1974,2022-07-04T11:14:15.601Z
2.847994,48.457443,1943,2022-07-04T11:14:22.101Z
2.840399,48.464837,1913,2022-07-04T11:14:29.201Z
2.832232,48.472657,1882,2022-07-04T11:14:36.701Z
2.824684,48.479965,1852,2022-07-04T11:14:43.801Z
2.817007,48.487335,1821,2022-07-04T11:14:51.101Z
2.809175,48.494863,1791,2022-07-04T11:14:58.501Z
2.801441,48.502265,1760,2022-07-04T11:15:05.701Z
2.792851,48.51059,1730,2022-07-04T11:15:13.901Z
2.78554,48.517627,1699,2022-07-04T11:15:20.801Z
2.777951,48.524935,1669,2022-07-04T11:15:28.001Z
2.770104,48.532471,1638,2022-07-04T11:15:35.401Z
2.761833,48.540391,1608,2022-07-04T11:15:43.301Z
2.753738,48.548118,1577,2022-07-04T11:15:50.801Z
2.747088,48.554496,1547,2022-07-04T11:15:57.401Z
2.738704,48.56255,1516,2022-07-04T11:16:05.301Z
2.730525,48.570374,1486,2022-07-04T11:16:13.001Z
2.722152,48.578377,1455,2022-07-04T11:16:21.101Z
2.717356,48.583008,1448,2022-07-04T11:16:25.601Z
2.696493,48.602957,1448,2022-07-04T11:16:45.401Z
2.675734,48.622787,1448,2022-07-04T11:17:05.101Z
2.655029,48.642563,1448,2022-07-04T11:17:24.801Z
2.635099,48.66156,1455,2022-07-04T11:17:43.801Z
2.626718,48.669525,1425,2022-07-04T11:17:51.701Z
2.617704,48.678131,1402,2022-07-04T11:18:00.301Z
2.609976,48.685494,1372,2022-07-04T11:18:07.701Z
2.601647,48.693466,1341,2022-07-04T11:18:15.601Z
2.592918,48.701787,1311,2022-07-04T11:18:23.801Z
2.585762,48.708584,1280,2022-07-04T11:18:30.601Z
2.580414,48.713658,1265,2022-07-04T11:18:35.901Z
2.575571,48.71836,1234,2022-07-04T11:18:40.801Z
2.569933,48.723667,1219,2022-07-04T11:18:46.301Z
2.56444,48.728927,1189,2022-07-04T11:18:52.001Z
2.559603,48.733521,1166,2022-07-04T11:18:56.901Z
2.55404,48.738785,1151,2022-07-04T11:19:02.801Z
2.550377,48.742264,1143,2022-07-04T11:19:06.801Z
2.547166,48.745174,1143,2022-07-04T11:19:10.201Z
2.542974,48.748386,1143,2022-07-04T11:19:14.301Z
2.539576,48.750714,1143,2022-07-04T11:19:17.401Z
2.535659,48.753021,1143,2022-07-04T11:19:20.801Z
2.530588,48.755722,1143,2022-07-04T11:19:25.401Z
2.525236,48.758148,1143,2022-07-04T11:19:29.801Z
2.519461,48.760483,1143,2022-07-04T11:19:34.601Z
2.517559,48.761215,1143,2022-07-04T11:19:36.201Z
2.510015,48.764074,1113,2022-07-04T11:19:42.401Z
2.504812,48.766068,1113,2022-07-04T11:19:46.801Z
2.501925,48.767166,1097,2022-07-04T11:19:49.201Z
2.496925,48.76886,1067,2022-07-04T11:19:53.401Z
2.490798,48.770782,1036,2022-07-04T11:19:58.001Z
2.483777,48.77278,1006,2022-07-04T11:20:03.501Z
