registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFD,3b76a4,2022-08-06,2022-08-06 00:07:48.110000+00:00,2022-08-06 03:38:26.820000+00:00,210.63,3h31min,A/C in cruise,Villacoublay-Velizy (BA 107) Air Base,A/C in cruise,LFPV,23.435726,5.605946,48.774399,2.203674,11.0,output/F-RAFD/2022-08-06/leg_1/F-RAFD_baro_2022-08-06_leg_1.csv
F-RAFD,3b76a4,2022-08-05,2022-08-05 22:42:57.820000+00:00,2022-08-05 23:33:25.170000+00:00,50.45,50min,Diori Hamani International Airport,A/C in cruise,DRRN,A/C in cruise,13.482422,2.186895,19.136982,4.167938,2.6,output/F-RAFD/2022-08-05/leg_2/F-RAFD_baro_2022-08-05_leg_2.csv
F-RAFD,3b76a4,2022-08-05,2022-08-05 16:39:57.960000+00:00,2022-08-05 21:36:04.740000+00:00,296.1,4h56min,Villacoublay-Velizy (BA 107) Air Base,Diori Hamani International Airport,LFPV,DRRN,48.774353,2.200857,13.481735,2.171883,15.4,output/F-RAFD/2022-08-05/leg_1/F-RAFD_baro_2022-08-05_leg_1.csv
F-RAFD,3b76a4,2022-07-28,2022-07-28 10:20:15.720000+00:00,2022-07-28 16:41:32.400000+00:00,381.27,6h21min,Port Bouet Airport,Villacoublay-Velizy (BA 107) Air Base,DIAP,LFPV,5.269015,-3.922687,48.774455,2.20659,19.8,output/F-RAFD/2022-07-28/leg_2/F-RAFD_baro_2022-07-28_leg_2.csv
F-RAFD,3b76a4,2022-07-28,2022-07-28 01:40:04.950000+00:00,2022-07-28 07:49:34.300000+00:00,369.48,6h09min,Villacoublay-Velizy (BA 107) Air Base,Port Bouet Airport,LFPV,DIAP,48.774353,2.200576,5.262637,-3.925292,19.2,output/F-RAFD/2022-07-28/leg_1/F-RAFD_baro_2022-07-28_leg_1.csv
F-RAFD,3b76a4,2022-07-16,2022-07-16 14:42:42.900000+00:00,2022-07-16 20:30:13.600000+00:00,347.5,5h48min,Cadjehoun Airport,Villacoublay-Velizy (BA 107) Air Base,DBBB,LFPV,6.401001,2.325703,48.774409,2.203554,18.1,output/F-RAFD/2022-07-16/leg_2/F-RAFD_baro_2022-07-16_leg_2.csv
F-RAFD,3b76a4,2022-07-16,2022-07-16 05:50:10.700000+00:00,2022-07-16 11:37:36.900000+00:00,347.43,5h47min,Villacoublay-Velizy (BA 107) Air Base,Cadjehoun Airport,LFPV,DBBB,48.774307,2.197477,6.354904,2.381287,18.1,output/F-RAFD/2022-07-16/leg_1/F-RAFD_baro_2022-07-16_leg_1.csv
F-RAFD,3b76a4,2022-07-10,2022-07-10 09:40:51.300000+00:00,2022-07-10 20:46:12.600000+00:00,665.35,11h05min,Villacoublay-Velizy (BA 107) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFPV,LFPV,48.774353,2.201702,48.774445,2.205857,34.6,output/F-RAFD/2022-07-10/leg_1/F-RAFD_baro_2022-07-10_leg_1.csv
F-RAFD,3b76a4,2022-07-07,2022-07-07 11:43:23.200000+00:00,2022-07-07 12:21:11.100000+00:00,37.78,38min,Épinal-Mirecourt Airport,Villacoublay-Velizy (BA 107) Air Base,LFSG,LFPV,47.795322,6.319251,48.774316,2.199217,2.0,output/F-RAFD/2022-07-07/leg_5/F-RAFD_baro_2022-07-07_leg_5.csv
F-RAFD,3b76a4,2022-07-07,2022-07-07 10:26:31.800000+00:00,2022-07-07 11:03:40.700000+00:00,37.13,37min,Évreux-Fauville (BA 105) Air Base,Épinal-Mirecourt Airport,LFOE,LFSG,49.027222,1.218074,47.818552,6.23946,1.9,output/F-RAFD/2022-07-07/leg_4/F-RAFD_baro_2022-07-07_leg_4.csv
F-RAFD,3b76a4,2022-07-07,2022-07-07 08:53:39.400000+00:00,2022-07-07 09:41:11.700000+00:00,47.53,48min,Épinal-Mirecourt Airport,Évreux-Fauville (BA 105) Air Base,LFSG,LFOE,47.796439,6.316012,49.014221,1.201524,2.5,output/F-RAFD/2022-07-07/leg_3/F-RAFD_baro_2022-07-07_leg_3.csv
F-RAFD,3b76a4,2022-07-07,2022-07-07 07:15:48.200000+00:00,2022-07-07 08:22:51.200000+00:00,67.05,1h07min,Biarritz-Anglet-Bayonne Airport,Épinal-Mirecourt Airport,LFBZ,LFSG,43.467957,-1.559739,47.811493,6.267906,3.5,output/F-RAFD/2022-07-07/leg_2/F-RAFD_baro_2022-07-07_leg_2.csv
F-RAFD,3b76a4,2022-07-07,2022-07-07 05:40:21.100000+00:00,2022-07-07 06:39:57.400000+00:00,59.6,60min,Villacoublay-Velizy (BA 107) Air Base,Biarritz-Anglet-Bayonne Airport,LFPV,LFBZ,48.774536,2.210083,43.468964,-1.463673,3.1,output/F-RAFD/2022-07-07/leg_1/F-RAFD_baro_2022-07-07_leg_1.csv
F-RAFD,3b76a4,2022-07-06,2022-07-06 12:04:37.100000+00:00,2022-07-06 12:20:57.900000+00:00,16.33,16min,Orleans   Saint-Denis-de-l'Hôtel Airport,Villacoublay-Velizy (BA 107) Air Base,LFOZ,LFPV,47.988048,1.761968,48.774536,2.210153,0.8,output/F-RAFD/2022-07-06/leg_2/F-RAFD_baro_2022-07-06_leg_2.csv
F-RAFD,3b76a4,2022-07-06,2022-07-06 06:21:33+00:00,2022-07-06 06:43:03+00:00,21.5,22min,Villacoublay-Velizy (BA 107) Air Base,Orleans   Saint-Denis-de-l'Hôtel Airport,LFPV,LFOZ,48.774353,2.201914,47.982971,1.741951,1.1,output/F-RAFD/2022-07-06/leg_1/F-RAFD_baro_2022-07-06_leg_1.csv
F-RAFD,3b76a4,2022-07-04,2022-07-04 10:33:51.201000+00:00,2022-07-04 11:24:09.401000+00:00,50.3,50min,Orange-Caritat (BA 115) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFMO,LFPV,44.302689,4.826202,48.774549,2.210854,2.6,output/F-RAFD/2022-07-04/leg_4/F-RAFD_baro_2022-07-04_leg_4.csv
F-RAFD,3b76a4,2022-07-04,2022-07-04 09:11:42.101000+00:00,2022-07-04 09:49:34.001000+00:00,37.85,38min,Bordeaux-Merignac Airport,Orange-Caritat (BA 115) Air Base,LFBD,LFMO,44.836807,-0.703714,44.08223,4.677557,2.0,output/F-RAFD/2022-07-04/leg_3/F-RAFD_baro_2022-07-04_leg_3.csv
F-RAFD,3b76a4,2022-07-04,2022-07-04 07:53:37.801000+00:00,2022-07-04 08:42:01.101000+00:00,48.38,48min,Orange-Caritat (BA 115) Air Base,Bordeaux-Merignac Airport,LFMO,LFBD,44.10498,4.768386,44.828827,-0.715049,2.5,output/F-RAFD/2022-07-04/leg_2/F-RAFD_baro_2022-07-04_leg_2.csv
F-RAFD,3b76a4,2022-07-04,2022-07-04 06:28:47.501000+00:00,2022-07-04 07:13:29.201000+00:00,44.68,45min,Villacoublay-Velizy (BA 107) Air Base,Orange-Caritat (BA 115) Air Base,LFPV,LFMO,48.774223,2.194808,44.33961,4.824807,2.3,output/F-RAFD/2022-07-04/leg_1/F-RAFD_baro_2022-07-04_leg_1.csv
