registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFP,3b77e5,2022-08-11,2022-08-11 15:52:11.220000+00:00,2022-08-11 16:44:05.540000+00:00,51.9,52min,Pau Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBP,LFPV,43.946869,-0.530154,48.774176,2.192062,2.2,output/F-RAFP/2022-08-11/leg_4/F-RAFP_baro_2022-08-11_leg_4.csv
F-RAFP,3b77e5,2022-08-11,2022-08-11 14:43:24.360000+00:00,2022-08-11 15:21:45.490000+00:00,38.35,38min,Orange-Caritat (BA 115) Air Base,Pau Pyrenees Airport,LFMO,LFBP,44.167282,4.83935,43.915604,-0.391803,1.7,output/F-RAFP/2022-08-11/leg_3/F-RAFP_baro_2022-08-11_leg_3.csv
F-RAFP,3b77e5,2022-08-11,2022-08-11 13:03:11.190000+00:00,2022-08-11 13:45:28.520000+00:00,42.28,42min,Pau Pyrenees Airport,Orange-Caritat (BA 115) Air Base,LFBP,LFMO,43.913498,-0.458615,44.092621,4.916382,1.8,output/F-RAFP/2022-08-11/leg_2/F-RAFP_baro_2022-08-11_leg_2.csv
F-RAFP,3b77e5,2022-08-11,2022-08-11 11:35:12.250000+00:00,2022-08-11 12:24:26.580000+00:00,49.23,49min,Villacoublay-Velizy (BA 107) Air Base,Pau Pyrenees Airport,LFPV,LFBP,48.774409,2.205216,43.918917,-0.458418,2.1,output/F-RAFP/2022-08-11/leg_1/F-RAFP_baro_2022-08-11_leg_1.csv
F-RAFP,3b77e5,2022-08-10,2022-08-10 16:09:46.660000+00:00,2022-08-10 16:37:08.470000+00:00,27.35,27min,"Châteauroux-Deols ""Marcel Dassault"" Airport",Villacoublay-Velizy (BA 107) Air Base,LFLX,LFPV,46.927185,1.762138,48.774078,2.188533,1.2,output/F-RAFP/2022-08-10/leg_4/F-RAFP_baro_2022-08-10_leg_4.csv
F-RAFP,3b77e5,2022-08-10,2022-08-10 14:51:12.550000+00:00,2022-08-10 15:34:01.540000+00:00,42.8,43min,Limoges Airport,"Châteauroux-Deols ""Marcel Dassault"" Airport",LFBL,LFLX,45.91571,1.184179,46.705302,1.57901,1.9,output/F-RAFP/2022-08-10/leg_3/F-RAFP_baro_2022-08-10_leg_3.csv
F-RAFP,3b77e5,2022-08-10,2022-08-10 13:21:06.100000+00:00,2022-08-10 14:17:43.330000+00:00,56.62,57min,"Châteauroux-Deols ""Marcel Dassault"" Airport",Limoges Airport,LFLX,LFBL,46.701828,1.57205,45.745534,1.072609,2.5,output/F-RAFP/2022-08-10/leg_2/F-RAFP_baro_2022-08-10_leg_2.csv
F-RAFP,3b77e5,2022-08-10,2022-08-10 12:20:22.450000+00:00,2022-08-10 12:49:14.130000+00:00,28.85,29min,Villacoublay-Velizy (BA 107) Air Base,"Châteauroux-Deols ""Marcel Dassault"" Airport",LFPV,LFLX,48.774261,2.197336,47.010265,1.866831,1.3,output/F-RAFP/2022-08-10/leg_1/F-RAFP_baro_2022-08-10_leg_1.csv
F-RAFP,3b77e5,2022-08-09,2022-08-09 16:23:26.430000+00:00,2022-08-09 17:04:51.110000+00:00,41.4,41min,Metz-Nancy-Lorraine Airport,Villacoublay-Velizy (BA 107) Air Base,LFJL,LFPV,48.99651,6.267194,48.77449,2.205646,1.8,output/F-RAFP/2022-08-09/leg_3/F-RAFP_baro_2022-08-09_leg_3.csv
F-RAFP,3b77e5,2022-08-09,2022-08-09 14:26:00.320000+00:00,2022-08-09 15:58:23.300000+00:00,92.37,1h32min,Clermont-Ferrand Auvergne Airport,Metz-Nancy-Lorraine Airport,LFLC,LFJL,45.786547,3.168594,48.948532,6.260024,4.0,output/F-RAFP/2022-08-09/leg_2/F-RAFP_baro_2022-08-09_leg_2.csv
F-RAFP,3b77e5,2022-08-09,2022-08-09 11:49:26.480000+00:00,2022-08-09 14:04:18.760000+00:00,134.87,2h15min,Villacoublay-Velizy (BA 107) Air Base,Clermont-Ferrand Auvergne Airport,LFPV,LFLC,48.774362,2.202831,45.786593,3.169144,5.8,output/F-RAFP/2022-08-09/leg_1/F-RAFP_baro_2022-08-09_leg_1.csv
F-RAFP,3b77e5,2022-08-01,2022-08-01 06:15:28.510000+00:00,2022-08-01 07:53:59.150000+00:00,98.5,1h38min,Villacoublay-Velizy (BA 107) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFPV,LFPV,48.774445,2.206703,48.774399,2.203111,4.3,output/F-RAFP/2022-08-01/leg_1/F-RAFP_baro_2022-08-01_leg_1.csv
F-RAFP,3b77e5,2022-07-28,2022-07-28 13:12:38.710000+00:00,2022-07-28 18:30:42.840000+00:00,318.07,5h18min,Osvaldo Vieira International Airport,Villacoublay-Velizy (BA 107) Air Base,GGOV,LFPV,12.162005,-15.56382,48.774316,2.199506,13.8,output/F-RAFP/2022-07-28/leg_1/F-RAFP_baro_2022-07-28_leg_1.csv
F-RAFP,3b77e5,2022-07-27,2022-07-27 20:06:00.390000+00:00,2022-07-27 22:50:16.670000+00:00,164.27,2h44min,Cadjehoun Airport,Osvaldo Vieira International Airport,DBBB,GGOV,6.355419,2.38369,11.888924,-15.652084,7.1,output/F-RAFP/2022-07-27/leg_1/F-RAFP_baro_2022-07-27_leg_1.csv
F-RAFP,3b77e5,2022-07-26,2022-07-26 11:18:34.090000+00:00,2022-07-26 22:54:30.210000+00:00,695.93,11h36min,Villacoublay-Velizy (BA 107) Air Base,Cadjehoun Airport,LFPV,DBBB,48.77449,2.206421,6.456888,2.575868,30.2,output/F-RAFP/2022-07-26/leg_1/F-RAFP_baro_2022-07-26_leg_1.csv
F-RAFP,3b77e5,2022-07-24,2022-07-24 08:57:11.470000+00:00,2022-07-24 09:51:15.250000+00:00,54.05,54min,Châlons-Vatry Airport,Villacoublay-Velizy (BA 107) Air Base,LFOK,LFPV,48.775909,4.186284,48.774353,2.201843,2.3,output/F-RAFP/2022-07-24/leg_2/F-RAFP_baro_2022-07-24_leg_2.csv
F-RAFP,3b77e5,2022-07-24,2022-07-24 07:37:40.520000+00:00,2022-07-24 08:27:03.430000+00:00,49.37,49min,Villacoublay-Velizy (BA 107) Air Base,Châlons-Vatry Airport,LFPV,LFOK,48.774399,2.202688,48.779068,4.16248,2.1,output/F-RAFP/2022-07-24/leg_1/F-RAFP_baro_2022-07-24_leg_1.csv
F-RAFP,3b77e5,2022-07-23,2022-07-23 16:25:56.550000+00:00,2022-07-23 17:27:43.320000+00:00,61.77,1h02min,Marseille Provence Airport,Villacoublay-Velizy (BA 107) Air Base,LFML,LFPV,43.447266,5.194617,48.774362,2.202759,2.7,output/F-RAFP/2022-07-23/leg_3/F-RAFP_baro_2022-07-23_leg_3.csv
F-RAFP,3b77e5,2022-07-23,2022-07-23 15:09:12.730000+00:00,2022-07-23 15:48:01.660000+00:00,38.8,39min,Figari Sud-Corse Airport,Marseille Provence Airport,LFKF,LFML,41.486051,9.076687,43.405772,5.259051,1.7,output/F-RAFP/2022-07-23/leg_2/F-RAFP_baro_2022-07-23_leg_2.csv
F-RAFP,3b77e5,2022-07-23,2022-07-23 12:51:43.330000+00:00,2022-07-23 13:02:56.010000+00:00,11.2,11min,Ajaccio-Napoleon Bonaparte Airport,Figari Sud-Corse Airport,LFKJ,LFKF,41.770113,8.656013,41.535461,9.145494,0.5,output/F-RAFP/2022-07-23/leg_1/F-RAFP_baro_2022-07-23_leg_1.csv
F-RAFP,3b77e5,2022-07-22,2022-07-22 14:18:16.620000+00:00,2022-07-22 14:37:01.480000+00:00,18.73,19min,Bastia-Poretta Airport,Ajaccio-Napoleon Bonaparte Airport,LFKB,LFKJ,42.712646,9.604922,41.966537,8.811722,0.8,output/F-RAFP/2022-07-22/leg_2/F-RAFP_baro_2022-07-22_leg_2.csv
F-RAFP,3b77e5,2022-07-22,2022-07-22 05:13:02.450000+00:00,2022-07-22 06:33:26.810000+00:00,80.4,1h20min,Villacoublay-Velizy (BA 107) Air Base,Bastia-Poretta Airport,LFPV,LFKB,48.774362,2.202759,42.56488,9.478579,3.5,output/F-RAFP/2022-07-22/leg_1/F-RAFP_baro_2022-07-22_leg_1.csv
F-RAFP,3b77e5,2022-07-18,2022-07-18 12:04:46.600000+00:00,2022-07-18 14:03:11.600000+00:00,118.42,1h58min,Sevilla Airport,Villacoublay-Velizy (BA 107) Air Base,LEZL,LFPV,37.417572,-5.900016,48.774176,2.191411,5.1,output/F-RAFP/2022-07-18/leg_3/F-RAFP_baro_2022-07-18_leg_3.csv
F-RAFP,3b77e5,2022-07-18,2022-07-18 09:13:55+00:00,2022-07-18 11:16:58.800000+00:00,123.05,2h03min,Orleans   Saint-Denis-de-l'Hôtel Airport,Sevilla Airport,LFOZ,LEZL,47.99019,1.769926,37.418084,-5.852429,5.3,output/F-RAFP/2022-07-18/leg_2/F-RAFP_baro_2022-07-18_leg_2.csv
F-RAFP,3b77e5,2022-07-18,2022-07-18 07:08:49.400000+00:00,2022-07-18 07:32:18.700000+00:00,23.48,23min,Villacoublay-Velizy (BA 107) Air Base,Orleans   Saint-Denis-de-l'Hôtel Airport,LFPV,LFOZ,48.774316,2.199579,47.98209,1.738516,1.0,output/F-RAFP/2022-07-18/leg_1/F-RAFP_baro_2022-07-18_leg_1.csv
F-RAFP,3b77e5,2022-07-16,2022-07-16 08:31:48.100000+00:00,2022-07-16 14:54:50.500000+00:00,383.03,6h23min,Port Bouet Airport,Villacoublay-Velizy (BA 107) Air Base,DIAP,LFPV,5.269043,-3.922678,48.774269,2.197338,16.6,output/F-RAFP/2022-07-16/leg_2/F-RAFP_baro_2022-07-16_leg_2.csv
