long,lat,elevation,time
2.203111,48.774399,99,2022-07-05T14:28:05.900Z
2.202125,48.774353,99,2022-07-05T14:28:06.800Z
2.196977,48.774269,122,2022-07-05T14:28:12.200Z
2.195603,48.774223,145,2022-07-05T14:28:13.500Z
2.193363,48.77413,175,2022-07-05T14:28:15.700Z
2.191913,48.774078,206,2022-07-05T14:28:17.400Z
2.190364,48.774033,236,2022-07-05T14:28:19.100Z
2.188809,48.77399,267,2022-07-05T14:28:20.600Z
2.187291,48.773943,297,2022-07-05T14:28:22.100Z
2.186279,48.773895,328,2022-07-05T14:28:23.100Z
2.1848,48.773849,358,2022-07-05T14:28:24.800Z
2.182969,48.773758,389,2022-07-05T14:28:26.700Z
2.181581,48.773711,419,2022-07-05T14:28:28.300Z
2.180063,48.773618,442,2022-07-05T14:28:29.800Z
2.178256,48.773571,472,2022-07-05T14:28:31.900Z
2.176811,48.773524,495,2022-07-05T14:28:33.500Z
2.175434,48.773483,518,2022-07-05T14:28:35.200Z
2.173992,48.773478,549,2022-07-05T14:28:36.500Z
2.171824,48.773431,579,2022-07-05T14:28:38.900Z
2.169728,48.773385,610,2022-07-05T14:28:41.100Z
2.166842,48.773346,640,2022-07-05T14:28:44.200Z
2.16474,48.773292,671,2022-07-05T14:28:46.600Z
2.161983,48.773254,701,2022-07-05T14:28:49.300Z
2.159392,48.773245,732,2022-07-05T14:28:52.000Z
2.156934,48.773199,762,2022-07-05T14:28:54.600Z
2.154658,48.773163,792,2022-07-05T14:28:56.900Z
2.152236,48.773105,823,2022-07-05T14:28:59.400Z
2.149273,48.773105,853,2022-07-05T14:29:02.400Z
2.147405,48.773071,876,2022-07-05T14:29:04.400Z
2.145433,48.773026,907,2022-07-05T14:29:06.300Z
2.142686,48.772934,937,2022-07-05T14:29:09.200Z
2.140382,48.772873,968,2022-07-05T14:29:11.500Z
2.137925,48.772826,998,2022-07-05T14:29:13.900Z
2.135151,48.772751,1029,2022-07-05T14:29:16.600Z
2.132474,48.772659,1059,2022-07-05T14:29:19.300Z
2.12889,48.772547,1090,2022-07-05T14:29:22.800Z
2.12665,48.7725,1105,2022-07-05T14:29:25.800Z
2.120723,48.772314,1166,2022-07-05T14:29:29.800Z
2.120217,48.772314,1158,2022-07-05T14:29:30.600Z
2.117037,48.772221,1189,2022-07-05T14:29:33.200Z
2.113601,48.77211,1219,2022-07-05T14:29:35.300Z
2.110893,48.772035,1250,2022-07-05T14:29:37.400Z
2.110387,48.772035,1250,2022-07-05T14:29:38.000Z
2.108389,48.772018,1280,2022-07-05T14:29:39.300Z
2.107614,48.771973,1280,2022-07-05T14:29:39.800Z
2.105783,48.771927,1303,2022-07-05T14:29:41.200Z
2.104938,48.771927,1303,2022-07-05T14:29:41.800Z
2.102942,48.771849,1326,2022-07-05T14:29:43.300Z
2.102262,48.77179,1334,2022-07-05T14:29:43.800Z
2.100991,48.771755,1349,2022-07-05T14:29:44.800Z
2.099617,48.771662,1356,2022-07-05T14:29:45.700Z
2.097262,48.771515,1387,2022-07-05T14:29:47.300Z
2.095208,48.771336,1410,2022-07-05T14:29:48.900Z
2.094413,48.77129,1425,2022-07-05T14:29:49.400Z
2.093835,48.771243,1433,2022-07-05T14:29:49.900Z
2.091594,48.771011,1463,2022-07-05T14:29:51.500Z
2.089445,48.770737,1478,2022-07-05T14:29:53.000Z
2.0886,48.770645,1494,2022-07-05T14:29:53.600Z
2.086463,48.770359,1509,2022-07-05T14:29:55.200Z
2.085523,48.770219,1509,2022-07-05T14:29:55.700Z
2.084945,48.770126,1516,2022-07-05T14:29:56.100Z
2.081275,48.769592,1539,2022-07-05T14:29:58.700Z
2.07881,48.769226,1554,2022-07-05T14:30:00.200Z
2.077261,48.768997,1562,2022-07-05T14:30:01.200Z
2.076488,48.768869,1570,2022-07-05T14:30:01.700Z
2.07432,48.768543,1577,2022-07-05T14:30:03.200Z
2.07338,48.768404,1585,2022-07-05T14:30:03.700Z
2.07273,48.768311,1593,2022-07-05T14:30:04.200Z
2.070641,48.76799,1600,2022-07-05T14:30:05.500Z
2.069839,48.767892,1608,2022-07-05T14:30:06.000Z
2.067526,48.767566,1631,2022-07-05T14:30:07.300Z
2.066697,48.767441,1631,2022-07-05T14:30:07.800Z
2.053457,48.765472,1737,2022-07-05T14:30:16.200Z
2.050179,48.764959,1768,2022-07-05T14:30:18.700Z
2.045553,48.764214,1791,2022-07-05T14:30:20.600Z
2.043746,48.763935,1798,2022-07-05T14:30:21.300Z
2.042662,48.763748,1814,2022-07-05T14:30:21.800Z
2.038542,48.76319,1814,2022-07-05T14:30:23.900Z
2.037458,48.763004,1821,2022-07-05T14:30:24.500Z
2.035358,48.762772,1814,2022-07-05T14:30:25.600Z
2.033338,48.762538,1814,2022-07-05T14:30:26.800Z
2.03233,48.762405,1821,2022-07-05T14:30:27.200Z
2.031387,48.762305,1814,2022-07-05T14:30:27.700Z
2.030664,48.762259,1821,2022-07-05T14:30:28.100Z
2.023436,48.761793,1821,2022-07-05T14:30:31.900Z
2.0204,48.7617,1829,2022-07-05T14:30:33.500Z
2.019244,48.7617,1821,2022-07-05T14:30:34.100Z
2.018315,48.761673,1829,2022-07-05T14:30:34.800Z
2.017365,48.761654,1829,2022-07-05T14:30:35.200Z
2.009342,48.761886,1821,2022-07-05T14:30:39.300Z
2.008456,48.761902,1829,2022-07-05T14:30:39.900Z
2.003704,48.762212,1836,2022-07-05T14:30:42.300Z
2.002751,48.762268,1829,2022-07-05T14:30:42.800Z
2.001825,48.762352,1821,2022-07-05T14:30:43.300Z
2.001102,48.762398,1829,2022-07-05T14:30:43.800Z
1.999371,48.762497,1821,2022-07-05T14:30:44.600Z
1.998244,48.762589,1836,2022-07-05T14:30:45.200Z
1.991765,48.763046,1829,2022-07-05T14:30:48.700Z
1.988887,48.763236,1829,2022-07-05T14:30:50.100Z
1.983972,48.763562,1821,2022-07-05T14:30:52.700Z
1.982962,48.763641,1829,2022-07-05T14:30:53.300Z
1.978736,48.763962,1829,2022-07-05T14:30:55.400Z
1.977962,48.764008,1829,2022-07-05T14:30:55.800Z
1.975877,48.764167,1829,2022-07-05T14:30:56.900Z
1.97472,48.764214,1821,2022-07-05T14:30:57.500Z
1.973736,48.764282,1829,2022-07-05T14:30:58.100Z
1.972769,48.764354,1829,2022-07-05T14:30:58.500Z
1.967781,48.764773,1829,2022-07-05T14:31:01.200Z
1.966834,48.764877,1821,2022-07-05T14:31:01.600Z
1.96113,48.765518,1829,2022-07-05T14:31:04.700Z
1.960003,48.765656,1829,2022-07-05T14:31:05.200Z
1.958102,48.76593,1821,2022-07-05T14:31:06.300Z
1.952242,48.766774,1829,2022-07-05T14:31:09.300Z
1.951341,48.766891,1829,2022-07-05T14:31:09.800Z
1.945003,48.768036,1829,2022-07-05T14:31:13.300Z
1.944228,48.768173,1829,2022-07-05T14:31:13.700Z
1.939862,48.768997,1836,2022-07-05T14:31:16.000Z
1.938942,48.769195,1829,2022-07-05T14:31:16.500Z
1.937858,48.769381,1829,2022-07-05T14:31:17.100Z
1.936904,48.769592,1821,2022-07-05T14:31:17.700Z
1.934172,48.77008,1829,2022-07-05T14:31:19.100Z
1.933242,48.770279,1829,2022-07-05T14:31:19.700Z
1.919499,48.772966,1829,2022-07-05T14:31:27.100Z
1.918777,48.773105,1829,2022-07-05T14:31:27.600Z
1.912889,48.774307,1844,2022-07-05T14:31:30.900Z
1.908152,48.7752,1859,2022-07-05T14:31:33.600Z
1.907255,48.775406,1867,2022-07-05T14:31:34.000Z
1.905494,48.775726,1875,2022-07-05T14:31:35.300Z
1.90479,48.775864,1882,2022-07-05T14:31:35.500Z
1.901973,48.776413,1897,2022-07-05T14:31:37.100Z
1.901068,48.77655,1897,2022-07-05T14:31:37.500Z
1.897114,48.777328,1928,2022-07-05T14:31:39.900Z
1.891832,48.778336,1951,2022-07-05T14:31:43.200Z
1.88748,48.779204,1974,2022-07-05T14:31:45.600Z
1.886468,48.77939,1989,2022-07-05T14:31:46.200Z
1.885564,48.779572,1989,2022-07-05T14:31:46.700Z
1.884507,48.779755,1996,2022-07-05T14:31:47.300Z
1.883649,48.779949,1996,2022-07-05T14:31:47.900Z
1.88,48.78067,2027,2022-07-05T14:31:49.700Z
1.878445,48.780973,2035,2022-07-05T14:31:50.500Z
1.877361,48.781206,2042,2022-07-05T14:31:51.400Z
1.871972,48.782272,2073,2022-07-05T14:31:54.300Z
1.865869,48.783487,2103,2022-07-05T14:31:57.700Z
1.864062,48.783859,2118,2022-07-05T14:31:58.800Z
1.86305,48.784045,2126,2022-07-05T14:31:59.300Z
1.861478,48.784378,2134,2022-07-05T14:32:00.300Z
1.860422,48.784561,2134,2022-07-05T14:32:00.800Z
1.857051,48.785256,2164,2022-07-05T14:32:02.800Z
1.846055,48.787491,2225,2022-07-05T14:32:09.100Z
1.844295,48.787857,2225,2022-07-05T14:32:10.100Z
1.84339,48.788002,2248,2022-07-05T14:32:10.500Z
1.8369,48.789322,2271,2022-07-05T14:32:14.200Z
1.836018,48.789538,2278,2022-07-05T14:32:14.800Z
1.835139,48.789688,2286,2022-07-05T14:32:15.300Z
1.833379,48.790054,2294,2022-07-05T14:32:16.300Z
1.832322,48.790283,2301,2022-07-05T14:32:16.900Z
1.830741,48.790609,2309,2022-07-05T14:32:17.800Z
1.82973,48.790842,2324,2022-07-05T14:32:18.500Z
1.822815,48.792206,2347,2022-07-05T14:32:22.200Z
1.821759,48.792435,2362,2022-07-05T14:32:22.800Z
1.820189,48.79275,2377,2022-07-05T14:32:23.800Z
1.819466,48.79289,2377,2022-07-05T14:32:24.200Z
1.81737,48.793356,2393,2022-07-05T14:32:25.500Z
1.816477,48.793533,2393,2022-07-05T14:32:25.800Z
1.808237,48.795135,2423,2022-07-05T14:32:30.500Z
1.806673,48.795451,2423,2022-07-05T14:32:31.300Z
1.800963,48.796614,2431,2022-07-05T14:32:34.600Z
1.800068,48.796783,2431,2022-07-05T14:32:35.200Z
1.792955,48.798157,2431,2022-07-05T14:32:39.000Z
1.791898,48.798386,2438,2022-07-05T14:32:39.600Z
1.783095,48.800125,2438,2022-07-05T14:32:44.700Z
1.782243,48.800292,2438,2022-07-05T14:32:45.200Z
1.778701,48.80099,2438,2022-07-05T14:32:47.100Z
1.777689,48.801223,2431,2022-07-05T14:32:47.700Z
1.774147,48.801921,2438,2022-07-05T14:32:49.800Z
1.773306,48.802094,2438,2022-07-05T14:32:50.200Z
1.762294,48.804249,2454,2022-07-05T14:32:56.600Z
1.750296,48.806623,2438,2022-07-05T14:33:03.400Z
1.749432,48.806808,2438,2022-07-05T14:33:03.900Z
1.741116,48.808439,2438,2022-07-05T14:33:08.600Z
1.740206,48.80864,2446,2022-07-05T14:33:09.200Z
1.732741,48.81015,2431,2022-07-05T14:33:13.400Z
1.717388,48.813217,2438,2022-07-05T14:33:21.800Z
1.706543,48.815369,2446,2022-07-05T14:33:27.800Z
1.705627,48.815561,2446,2022-07-05T14:33:28.400Z
1.696159,48.817377,2446,2022-07-05T14:33:33.500Z
1.695205,48.817566,2446,2022-07-05T14:33:34.000Z
1.681703,48.82017,2438,2022-07-05T14:33:41.600Z
1.677669,48.820953,2438,2022-07-05T14:33:43.800Z
1.676542,48.821182,2438,2022-07-05T14:33:44.400Z
1.674077,48.82164,2438,2022-07-05T14:33:45.800Z
1.673021,48.821869,2438,2022-07-05T14:33:46.400Z
1.667809,48.822922,2438,2022-07-05T14:33:49.400Z
1.667105,48.823059,2438,2022-07-05T14:33:49.900Z
1.663489,48.823754,2438,2022-07-05T14:33:51.900Z
1.648583,48.826767,2438,2022-07-05T14:34:00.600Z
1.64672,48.827153,2431,2022-07-05T14:34:01.800Z
1.645781,48.827385,2438,2022-07-05T14:34:02.300Z
1.639709,48.828596,2438,2022-07-05T14:34:05.900Z
1.639059,48.828735,2438,2022-07-05T14:34:06.300Z
1.636746,48.829201,2431,2022-07-05T14:34:07.700Z
1.635907,48.829376,2438,2022-07-05T14:34:08.300Z
1.63323,48.82988,2431,2022-07-05T14:34:09.800Z
1.620989,48.832366,2438,2022-07-05T14:34:17.300Z
1.620202,48.832535,2446,2022-07-05T14:34:17.800Z
1.619399,48.832692,2438,2022-07-05T14:34:18.300Z
1.613723,48.833817,2431,2022-07-05T14:34:21.800Z
1.612807,48.834045,2423,2022-07-05T14:34:22.400Z
1.611376,48.834368,2438,2022-07-05T14:34:23.400Z
1.609075,48.834961,2431,2022-07-05T14:34:24.800Z
1.608268,48.835206,2431,2022-07-05T14:34:25.400Z
1.604497,48.836334,2438,2022-07-05T14:34:27.900Z
1.603933,48.836517,2438,2022-07-05T14:34:28.200Z
1.603018,48.836792,2438,2022-07-05T14:34:28.800Z
1.602342,48.837068,2446,2022-07-05T14:34:29.300Z
1.594708,48.839813,2446,2022-07-05T14:34:34.600Z
1.587091,48.842934,2446,2022-07-05T14:34:40.200Z
1.578721,48.846725,2438,2022-07-05T14:34:46.500Z
1.574073,48.849014,2438,2022-07-05T14:34:50.100Z
1.571115,48.850616,2446,2022-07-05T14:34:52.500Z
1.570467,48.850941,2431,2022-07-05T14:34:53.000Z
1.569744,48.851313,2431,2022-07-05T14:34:53.500Z
1.551024,48.861089,2438,2022-07-05T14:35:08.800Z
1.55041,48.861374,2446,2022-07-05T14:35:09.300Z
1.549072,48.862113,2438,2022-07-05T14:35:10.300Z
1.544776,48.864304,2438,2022-07-05T14:35:13.900Z
1.544072,48.864716,2438,2022-07-05T14:35:14.500Z
1.542875,48.865356,2438,2022-07-05T14:35:15.500Z
1.541185,48.866226,2438,2022-07-05T14:35:16.800Z
1.540692,48.866501,2438,2022-07-05T14:35:17.300Z
1.539315,48.867188,2438,2022-07-05T14:35:18.400Z
1.53041,48.871765,2438,2022-07-05T14:35:25.800Z
1.529635,48.872131,2438,2022-07-05T14:35:26.300Z
1.529051,48.872448,2438,2022-07-05T14:35:26.900Z
1.528328,48.87282,2438,2022-07-05T14:35:27.400Z
1.5271,48.873425,2438,2022-07-05T14:35:28.400Z
1.526377,48.873798,2431,2022-07-05T14:35:29.000Z
1.520378,48.87687,2431,2022-07-05T14:35:34.000Z
1.519727,48.877196,2438,2022-07-05T14:35:34.600Z
1.51727,48.878453,2438,2022-07-05T14:35:36.700Z
1.516677,48.878723,2438,2022-07-05T14:35:37.100Z
1.511043,48.881699,2438,2022-07-05T14:35:41.800Z
1.510476,48.881991,2438,2022-07-05T14:35:42.400Z
1.506606,48.884033,2438,2022-07-05T14:35:45.700Z
1.505902,48.884399,2438,2022-07-05T14:35:46.200Z
1.504775,48.88504,2438,2022-07-05T14:35:47.400Z
1.504187,48.885343,2438,2022-07-05T14:35:48.200Z
1.486262,48.894746,2438,2022-07-05T14:36:03.000Z
1.485829,48.894979,2438,2022-07-05T14:36:03.400Z
1.481564,48.897214,2438,2022-07-05T14:36:07.000Z
1.479902,48.898052,2438,2022-07-05T14:36:08.500Z
1.478673,48.898703,2438,2022-07-05T14:36:09.400Z
1.476577,48.899774,2438,2022-07-05T14:36:11.200Z
1.475854,48.900146,2438,2022-07-05T14:36:11.800Z
1.475267,48.900467,2438,2022-07-05T14:36:12.500Z
1.474625,48.900752,2431,2022-07-05T14:36:12.900Z
1.473365,48.901428,2438,2022-07-05T14:36:13.900Z
1.472872,48.901703,2438,2022-07-05T14:36:14.300Z
1.470361,48.902986,2438,2022-07-05T14:36:16.400Z
1.469774,48.903259,2446,2022-07-05T14:36:16.900Z
1.466886,48.904724,2438,2022-07-05T14:36:19.300Z
1.466241,48.905034,2438,2022-07-05T14:36:19.800Z
1.463856,48.906245,2446,2022-07-05T14:36:21.800Z
1.461904,48.907222,2431,2022-07-05T14:36:23.400Z
1.461182,48.907595,2438,2022-07-05T14:36:24.000Z
1.45764,48.90941,2438,2022-07-05T14:36:27.000Z
1.457134,48.90969,2438,2022-07-05T14:36:27.500Z
1.456484,48.910062,2438,2022-07-05T14:36:28.100Z
1.455829,48.910355,2438,2022-07-05T14:36:28.500Z
1.451815,48.91246,2438,2022-07-05T14:36:31.900Z
1.450774,48.913041,2446,2022-07-05T14:36:32.800Z
1.45034,48.913274,2438,2022-07-05T14:36:33.200Z
1.448083,48.914474,2438,2022-07-05T14:36:35.100Z
1.447378,48.914841,2438,2022-07-05T14:36:35.700Z
1.446292,48.915416,2438,2022-07-05T14:36:36.800Z
1.444068,48.91658,2438,2022-07-05T14:36:38.500Z
1.442871,48.917175,2438,2022-07-05T14:36:39.600Z
1.436955,48.920013,2438,2022-07-05T14:36:44.300Z
1.433716,48.921328,2438,2022-07-05T14:36:46.900Z
1.428801,48.922864,2438,2022-07-05T14:36:50.400Z
1.428006,48.923143,2438,2022-07-05T14:36:51.000Z
1.42656,48.923469,2431,2022-07-05T14:36:52.000Z
1.425265,48.923767,2438,2022-07-05T14:36:52.900Z
1.42118,48.924545,2446,2022-07-05T14:36:55.800Z
1.416586,48.925005,2438,2022-07-05T14:36:58.800Z
1.412729,48.925095,2438,2022-07-05T14:37:01.300Z
1.408504,48.924957,2438,2022-07-05T14:37:04.100Z
1.404443,48.924493,2438,2022-07-05T14:37:06.800Z
1.402925,48.924261,2438,2022-07-05T14:37:07.900Z
1.402165,48.924133,2438,2022-07-05T14:37:08.300Z
1.40132,48.92395,2446,2022-07-05T14:37:09.000Z
1.40054,48.923795,2438,2022-07-05T14:37:09.400Z
1.39639,48.922714,2446,2022-07-05T14:37:12.300Z
1.391433,48.921095,2438,2022-07-05T14:37:15.800Z
1.379348,48.916626,2431,2022-07-05T14:37:24.700Z
1.376471,48.915555,2446,2022-07-05T14:37:26.800Z
1.375263,48.915115,2438,2022-07-05T14:37:27.800Z
1.374418,48.914841,2431,2022-07-05T14:37:28.300Z
1.368521,48.912669,2431,2022-07-05T14:37:32.600Z
1.367868,48.912415,2438,2022-07-05T14:37:33.100Z
1.363995,48.911041,2431,2022-07-05T14:37:35.900Z
1.363431,48.910858,2431,2022-07-05T14:37:36.300Z
1.359992,48.90969,2438,2022-07-05T14:37:38.800Z
1.359414,48.909503,2438,2022-07-05T14:37:39.300Z
1.353431,48.907425,2423,2022-07-05T14:37:43.500Z
1.352868,48.907242,2431,2022-07-05T14:37:43.900Z
1.346177,48.904953,2393,2022-07-05T14:37:48.700Z
1.345464,48.904709,2385,2022-07-05T14:37:49.200Z
1.343924,48.904175,2370,2022-07-05T14:37:50.300Z
1.343223,48.903917,2362,2022-07-05T14:37:50.800Z
1.341952,48.903488,2355,2022-07-05T14:37:51.700Z
1.337163,48.901794,2316,2022-07-05T14:37:55.200Z
1.333149,48.90033,2278,2022-07-05T14:37:58.000Z
1.332304,48.900009,2271,2022-07-05T14:37:58.500Z
1.330719,48.899448,2256,2022-07-05T14:37:59.600Z
1.328406,48.89861,2240,2022-07-05T14:38:01.200Z
