registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFQ,3b77e4,2022-08-11,2022-08-11 22:06:40.830000+00:00,2022-08-11 22:25:27.650000+00:00,18.77,19min,Évreux-Fauville (BA 105) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFOE,LFPV,49.02887,1.220187,48.774399,2.203252,0.8,output/F-RAFQ/2022-08-11/leg_3/F-RAFQ_baro_2022-08-11_leg_3.csv
F-RAFQ,3b77e4,2022-08-11,2022-08-11 21:14:58.070000+00:00,2022-08-11 21:49:46.080000+00:00,34.8,35min,Évreux-Fauville (BA 105) Air Base,Évreux-Fauville (BA 105) Air Base,LFOE,LFOE,49.028458,1.219553,49.017505,1.205677,1.5,output/F-RAFQ/2022-08-11/leg_2/F-RAFQ_baro_2022-08-11_leg_2.csv
F-RAFQ,3b77e4,2022-08-11,2022-08-11 19:37:10.010000+00:00,2022-08-11 20:41:23.300000+00:00,64.22,1h04min,Villacoublay-Velizy (BA 107) Air Base,Évreux-Fauville (BA 105) Air Base,LFPV,LFOE,48.774362,2.201241,49.016201,1.204015,2.8,output/F-RAFQ/2022-08-11/leg_1/F-RAFQ_baro_2022-08-11_leg_1.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 15:57:38.450000+00:00,2022-08-10 17:02:43.710000+00:00,65.08,1h05min,Marseille Provence Airport,Villacoublay-Velizy (BA 107) Air Base,LFML,LFPV,43.424744,5.226298,48.77413,2.190038,2.8,output/F-RAFQ/2022-08-10/leg_5/F-RAFQ_baro_2022-08-10_leg_5.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 14:53:11.140000+00:00,2022-08-10 15:24:58.330000+00:00,31.78,32min,Rodez-Marcillac Airport,Marseille Provence Airport,LFCR,LFML,44.371731,2.542598,43.493523,5.13382,1.4,output/F-RAFQ/2022-08-10/leg_4/F-RAFQ_baro_2022-08-10_leg_4.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 10:34:27.170000+00:00,2022-08-10 11:19:39.910000+00:00,45.2,45min,Saint-Nazaire-Montoir Airport,Rodez-Marcillac Airport,LFRZ,LFCR,47.310481,-2.157616,44.4984,2.333791,2.0,output/F-RAFQ/2022-08-10/leg_3/F-RAFQ_baro_2022-08-10_leg_3.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 07:16:03.150000+00:00,2022-08-10 08:20:27.020000+00:00,64.38,1h04min,Marseille Provence Airport,Saint-Nazaire-Montoir Airport,LFML,LFRZ,43.461777,5.179351,47.31134,-2.153389,2.8,output/F-RAFQ/2022-08-10/leg_2/F-RAFQ_baro_2022-08-10_leg_2.csv
F-RAFQ,3b77e4,2022-08-10,2022-08-10 04:41:21.900000+00:00,2022-08-10 05:35:41.650000+00:00,54.32,54min,Villacoublay-Velizy (BA 107) Air Base,Marseille Provence Airport,LFPV,LFML,48.774307,2.199097,43.400931,5.267552,2.4,output/F-RAFQ/2022-08-10/leg_1/F-RAFQ_baro_2022-08-10_leg_1.csv
F-RAFQ,3b77e4,2022-08-09,2022-08-09 08:25:55.790000+00:00,2022-08-09 09:24:35.620000+00:00,58.65,59min,Pau Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBP,LFPV,43.382589,-0.423758,48.774216,2.192618,2.5,output/F-RAFQ/2022-08-09/leg_2/F-RAFQ_baro_2022-08-09_leg_2.csv
F-RAFQ,3b77e4,2022-08-09,2022-08-09 06:39:36.220000+00:00,2022-08-09 07:39:54.840000+00:00,60.3,1h00min,Villacoublay-Velizy (BA 107) Air Base,Pau Pyrenees Airport,LFPV,LFBP,48.774353,2.203815,43.3694,-0.398574,2.6,output/F-RAFQ/2022-08-09/leg_1/F-RAFQ_baro_2022-08-09_leg_1.csv
F-RAFQ,3b77e4,2022-08-08,2022-08-08 13:43:59.070000+00:00,2022-08-08 15:43:17.550000+00:00,119.3,1h59min,Metz-Nancy-Lorraine Airport,Villacoublay-Velizy (BA 107) Air Base,LFJL,LFPV,48.983894,6.254112,48.774316,2.199,5.2,output/F-RAFQ/2022-08-08/leg_2/F-RAFQ_baro_2022-08-08_leg_2.csv
F-RAFQ,3b77e4,2022-08-08,2022-08-08 11:42:18.280000+00:00,2022-08-08 13:16:21.410000+00:00,94.05,1h34min,Villacoublay-Velizy (BA 107) Air Base,Metz-Nancy-Lorraine Airport,LFPV,LFJL,48.774307,2.198111,48.942764,6.210374,4.1,output/F-RAFQ/2022-08-08/leg_1/F-RAFQ_baro_2022-08-08_leg_1.csv
F-RAFQ,3b77e4,2022-08-02,2022-08-02 13:17:06.570000+00:00,2022-08-02 16:56:05.950000+00:00,218.98,3h39min,Keflavik International Airport,Villacoublay-Velizy (BA 107) Air Base,BIKF,LFPV,63.982047,-22.605469,48.774316,2.20088,9.5,output/F-RAFQ/2022-08-02/leg_2/F-RAFQ_baro_2022-08-02_leg_2.csv
F-RAFQ,3b77e4,2022-08-02,2022-08-02 07:05:59.960000+00:00,2022-08-02 12:20:54.320000+00:00,314.9,5h15min,Villacoublay-Velizy (BA 107) Air Base,Keflavik International Airport,LFPV,BIKF,48.774409,2.203843,63.961807,-22.605532,13.6,output/F-RAFQ/2022-08-02/leg_1/F-RAFQ_baro_2022-08-02_leg_1.csv
