long,lat,elevation,time
-124.215202,65.667686,11275,2022-07-12T00:13:17.500Z
-124.215202,65.667686,11275,2022-07-12T00:13:17.500Z
-120.465088,65.969296,11278,2022-07-12T00:25:02.600Z
-116.636524,66.072292,11275,2022-07-12T00:35:36.100Z
-112.816544,66.065426,11275,2022-07-12T00:47:20.100Z
-109.986706,65.998821,11278,2022-07-12T00:56:09.900Z
-109.084282,65.938225,11279,2022-07-12T00:59:04.000Z
-105.512009,65.641766,11278,2022-07-12T01:10:48.100Z
-101.989174,65.258446,11279,2022-07-12T01:23:44.000Z
-99.985371,64.997864,11278,2022-07-12T01:31:37.400Z
-98.526421,64.764233,11578,2022-07-12T01:34:18.500Z
-95.186405,64.15844,11887,2022-07-12T01:47:12.600Z
-91.954365,63.469734,11887,2022-07-12T01:58:39.600Z
-89.986782,63.000069,11887,2022-07-12T02:06:20.900Z
-88.797169,62.809696,11887,2022-07-12T02:10:49.100Z
-85.593452,62.239437,11887,2022-07-12T02:21:12.100Z
-82.871933,61.677246,11887,2022-07-12T02:31:35.400Z
-82.515907,61.59811,11887,2022-07-12T02:32:56.000Z
-79.991112,60.997467,11887,2022-07-12T02:43:08.900Z
-76.565781,60.113411,11887,2022-07-12T02:58:08.000Z
-73.228044,59.112963,11887,2022-07-12T03:11:31.100Z
-73.164873,59.092573,11887,2022-07-12T03:11:48.100Z
-73.093323,59.069458,11887,2022-07-12T03:12:07.400Z
-73.020721,59.045929,11887,2022-07-12T03:12:27.100Z
-72.949882,59.022931,11887,2022-07-12T03:12:46.100Z
-72.875793,58.998779,11887,2022-07-12T03:13:05.900Z
-72.805023,58.975571,11887,2022-07-12T03:13:25.300Z
-72.73186,58.951613,11887,2022-07-12T03:13:44.400Z
-72.66168,58.928476,11887,2022-07-12T03:14:04.000Z
-72.587806,58.904083,11887,2022-07-12T03:14:23.900Z
-72.514435,58.879761,11887,2022-07-12T03:14:43.800Z
-72.441193,58.855408,11887,2022-07-12T03:15:03.700Z
-72.369781,58.831647,11887,2022-07-12T03:15:22.500Z
-72.298279,58.807766,11887,2022-07-12T03:15:41.900Z
-72.227931,58.78418,11887,2022-07-12T03:16:01.400Z
-72.153809,58.759212,11887,2022-07-12T03:16:21.000Z
-72.08121,58.734741,11887,2022-07-12T03:16:40.700Z
-72.009976,58.710617,11887,2022-07-12T03:17:00.100Z
-71.937768,58.686081,11887,2022-07-12T03:17:19.700Z
-71.864939,58.661316,11887,2022-07-12T03:17:39.300Z
-71.795123,58.637466,11887,2022-07-12T03:17:58.600Z
-71.722229,58.61248,11887,2022-07-12T03:18:18.300Z
-71.651592,58.588211,11887,2022-07-12T03:18:37.300Z
-71.580446,58.563675,11887,2022-07-12T03:18:56.900Z
-71.512668,58.540283,11887,2022-07-12T03:19:15.000Z
-71.442497,58.51593,11887,2022-07-12T03:19:34.400Z
-71.370466,58.490891,11887,2022-07-12T03:19:53.700Z
-71.300915,58.466629,11887,2022-07-12T03:20:13.200Z
-71.231323,58.442285,11887,2022-07-12T03:20:32.100Z
-71.16394,58.418655,11887,2022-07-12T03:20:51.000Z
-71.090881,58.392939,11887,2022-07-12T03:21:10.900Z
-71.020587,58.368164,11887,2022-07-12T03:21:30.100Z
-70.95401,58.344571,11887,2022-07-12T03:21:49.100Z
-70.882782,58.319294,11887,2022-07-12T03:22:08.500Z
-70.812112,58.294144,11887,2022-07-12T03:22:27.900Z
-70.740784,58.268645,11887,2022-07-12T03:22:47.700Z
-70.671328,58.24379,11887,2022-07-12T03:23:07.300Z
-70.600714,58.21843,11887,2022-07-12T03:23:27.000Z
-70.530762,58.19323,11887,2022-07-12T03:23:46.400Z
-70.459259,58.16744,11887,2022-07-12T03:24:05.900Z
-70.388123,58.14165,11887,2022-07-12T03:24:25.900Z
-70.318726,58.116419,11887,2022-07-12T03:24:45.300Z
-70.248688,58.090908,11887,2022-07-12T03:25:05.000Z
-70.178284,58.065165,11887,2022-07-12T03:25:25.000Z
-70.107304,58.039169,11887,2022-07-12T03:25:44.800Z
-70.038551,58.013855,11887,2022-07-12T03:26:04.100Z
-69.968114,57.987854,11887,2022-07-12T03:26:24.000Z
-69.924966,57.971191,11887,2022-07-12T03:26:36.400Z
-69.859131,57.944641,11887,2022-07-12T03:26:55.600Z
-69.792847,57.917501,11887,2022-07-12T03:27:15.000Z
-69.725529,57.890076,11887,2022-07-12T03:27:34.600Z
-69.657219,57.862427,11887,2022-07-12T03:27:54.500Z
-69.590515,57.83543,11887,2022-07-12T03:28:13.600Z
-69.525879,57.809314,11887,2022-07-12T03:28:32.500Z
-69.462341,57.783524,11887,2022-07-12T03:28:51.600Z
-69.395416,57.756244,11887,2022-07-12T03:29:10.900Z
-69.327895,57.728714,11887,2022-07-12T03:29:30.800Z
-69.260382,57.701033,11887,2022-07-12T03:29:50.400Z
-69.19216,57.673055,11887,2022-07-12T03:30:10.100Z
-69.12632,57.645996,11887,2022-07-12T03:30:29.800Z
-69.058342,57.617889,11887,2022-07-12T03:30:49.700Z
-68.990862,57.58996,11887,2022-07-12T03:31:09.500Z
-68.92583,57.562913,11887,2022-07-12T03:31:28.700Z
-68.860245,57.535629,11887,2022-07-12T03:31:47.800Z
-68.792953,57.507568,11887,2022-07-12T03:32:07.600Z
-68.727808,57.48024,11887,2022-07-12T03:32:26.900Z
-68.661461,57.452454,11887,2022-07-12T03:32:46.700Z
-68.595,57.42442,11887,2022-07-12T03:33:06.100Z
-68.530677,57.39728,11887,2022-07-12T03:33:25.300Z
-68.464582,57.369302,11887,2022-07-12T03:33:44.900Z
-68.399248,57.341583,11887,2022-07-12T03:34:04.700Z
-68.332214,57.313019,11887,2022-07-12T03:34:24.400Z
-68.267756,57.285553,11887,2022-07-12T03:34:43.800Z
-68.202416,57.257577,11887,2022-07-12T03:35:03.200Z
-68.137894,57.229935,11887,2022-07-12T03:35:22.600Z
-68.072086,57.201574,11887,2022-07-12T03:35:42.200Z
-68.006168,57.173084,11887,2022-07-12T03:36:01.900Z
-67.942629,57.145615,11887,2022-07-12T03:36:21.100Z
-67.87894,57.11806,11887,2022-07-12T03:36:40.100Z
-67.81311,57.089447,11887,2022-07-12T03:36:59.800Z
-67.747724,57.060893,11887,2022-07-12T03:37:19.800Z
-67.680211,57.031379,11887,2022-07-12T03:37:39.600Z
-67.616901,57.003571,11887,2022-07-12T03:37:58.800Z
-67.55316,56.975517,11887,2022-07-12T03:38:18.100Z
-67.48661,56.946213,11887,2022-07-12T03:38:37.700Z
-67.422298,56.917792,11887,2022-07-12T03:38:57.100Z
-67.357089,56.888883,11887,2022-07-12T03:39:17.000Z
