registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RARF,3b76ae,2022-07-29,2022-07-29 05:42:10.110000+00:00,2022-07-29 06:29:04.920000+00:00,46.9,47min,Paris-Orly Airport,Bordeaux-Merignac Airport,LFPO,LFBD,48.73027,2.346074,44.831388,-0.711432,2.4,output/F-RARF/2022-07-29/leg_1/F-RARF_baro_2022-07-29_leg_1.csv
F-RARF,3b76ae,2022-07-28,2022-07-28 12:58:30.960000+00:00,2022-07-28 17:55:46.600000+00:00,297.25,4h57min,Osvaldo Vieira International Airport,Paris-Orly Airport,GGOV,LFPO,12.441272,-15.496023,48.722643,2.375938,15.5,output/F-RARF/2022-07-28/leg_2/F-RARF_baro_2022-07-28_leg_2.csv
F-RARF,3b76ae,2022-07-28,2022-07-28 05:33:25.770000+00:00,2022-07-28 08:10:01.120000+00:00,156.58,2h37min,Cadjehoun Airport,Osvaldo Vieira International Airport,DBBB,GGOV,6.343506,2.300751,11.889439,-15.652428,8.1,output/F-RARF/2022-07-28/leg_1/F-RARF_baro_2022-07-28_leg_1.csv
F-RARF,3b76ae,2022-07-25,2022-07-25 15:22:07.340000+00:00,2022-07-25 21:10:23+00:00,348.25,5h48min,Paris-Orly Airport,A/C in cruise,LFPO,A/C in cruise,48.725017,2.38902,5.894508,12.454891,18.1,output/F-RARF/2022-07-25/leg_2/F-RARF_baro_2022-07-25_leg_2.csv
F-RARF,3b76ae,2022-07-25,2022-07-25 07:34:50.990000+00:00,2022-07-25 08:00:53.620000+00:00,26.03,26min,Évreux-Fauville (BA 105) Air Base,Paris-Orly Airport,LFOE,LFPO,49.021637,1.211031,48.723527,2.380853,1.4,output/F-RARF/2022-07-25/leg_1/F-RARF_baro_2022-07-25_leg_1.csv
F-RARF,3b76ae,2022-07-15,2022-07-15 13:21:18.100000+00:00,2022-07-15 19:13:26.700000+00:00,352.13,5h52min,Cadjehoun Airport,Évreux-Fauville (BA 105) Air Base,DBBB,LFOE,6.501951,2.349417,49.017691,1.205966,18.3,output/F-RARF/2022-07-15/leg_1/F-RARF_baro_2022-07-15_leg_1.csv
F-RARF,3b76ae,2022-07-14,2022-07-14 15:29:16.700000+00:00,2022-07-14 15:49:15.700000+00:00,19.98,20min,Yaounde Nsimalen International Airport,A/C in cruise,FKYS,A/C in cruise,3.717957,11.55259,3.983894,9.540111,1.0,output/F-RARF/2022-07-14/leg_1/F-RARF_baro_2022-07-14_leg_1.csv
F-RARF,3b76ae,2022-07-13,2022-07-13 00:00:34.400000+00:00,2022-07-13 03:49:53.900000+00:00,229.32,3h49min,A/C in cruise,A/C in cruise,A/C in cruise,A/C in cruise,36.398683,3.839254,8.676624,13.114758,11.9,output/F-RARF/2022-07-13/leg_1/F-RARF_baro_2022-07-13_leg_1.csv
F-RARF,3b76ae,2022-07-12,2022-07-12 22:17:05+00:00,2022-07-12 23:59:55+00:00,102.83,1h43min,Évreux-Fauville (BA 105) Air Base,A/C in cruise,LFOE,A/C in cruise,49.02063,1.209693,36.482896,3.809685,5.3,output/F-RARF/2022-07-12/leg_3/F-RARF_baro_2022-07-12_leg_3.csv
F-RARF,3b76ae,2022-07-12,2022-07-12 04:55:16.700000+00:00,2022-07-12 09:56:12.800000+00:00,300.93,5h01min,Goose Bay Airport,Évreux-Fauville (BA 105) Air Base,CYYR,LFOE,53.319397,-60.410264,49.040408,1.234805,15.6,output/F-RARF/2022-07-12/leg_2/F-RARF_baro_2022-07-12_leg_2.csv
