long,lat,elevation,time
-1.067133,44.968345,130,2022-08-09T14:26:13.020Z
-1.067133,44.968345,130,2022-08-09T14:26:13.020Z
-0.988682,44.98006,198,2022-08-09T14:31:42.550Z
-0.920337,44.902179,381,2022-08-09T14:32:46.380Z
-0.896755,44.916082,427,2022-08-09T14:33:32.950Z
-0.880396,44.909395,411,2022-08-09T14:33:52.370Z
-0.874106,44.902783,389,2022-08-09T14:34:00.880Z
-0.81262,44.864158,297,2022-08-09T14:35:14.470Z
-0.803341,44.858024,267,2022-08-09T14:35:25.380Z
-0.794347,44.8539,259,2022-08-09T14:35:35.260Z
-0.787429,44.847149,251,2022-08-09T14:35:43.560Z
-0.781076,44.84378,229,2022-08-09T14:35:51.440Z
-0.773309,44.839886,206,2022-08-09T14:35:58.480Z
-0.767561,44.838448,183,2022-08-09T14:36:05.530Z
-0.762318,44.838072,160,2022-08-09T14:36:10.080Z
-0.759931,44.837619,152,2022-08-09T14:36:14.990Z
-0.75387,44.837747,130,2022-08-09T14:36:24.040Z
-0.739927,44.83549,76,2022-08-09T14:36:43.020Z
-0.734144,44.834442,61,2022-08-09T14:36:49.980Z
-0.734144,44.834442,61,2022-08-09T14:36:49.980Z
