registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-ZBFS,3b7b6e,2022-08-11,2022-08-11 14:16:00.120000+00:00,2022-08-11 14:19:59.730000+00:00,3.98,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.666743,-0.65353,44.817844,-0.742006,0.0,output/F-ZBFS/2022-08-11/leg_1/F-ZBFS_baro_2022-08-11_leg_1.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 19:12:38.690000+00:00,2022-08-10 19:17:06.640000+00:00,4.45,4min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.636395,-0.685344,44.813098,-0.727305,0.0,output/F-ZBFS/2022-08-10/leg_9/F-ZBFS_baro_2022-08-10_leg_9.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 13:49:32.150000+00:00,2022-08-10 15:04:03.630000+00:00,74.52,1h15min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.681664,-0.503945,44.815416,-0.730099,0.0,output/F-ZBFS/2022-08-10/leg_8/F-ZBFS_baro_2022-08-10_leg_8.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 13:07:46.520000+00:00,2022-08-10 13:18:26.320000+00:00,10.65,11min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.690943,-0.496661,44.610306,-0.550688,0.0,output/F-ZBFS/2022-08-10/leg_7/F-ZBFS_baro_2022-08-10_leg_7.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 12:15:20.760000+00:00,2022-08-10 12:18:31.720000+00:00,3.17,3min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.832575,-0.675682,44.747059,-0.53161,0.0,output/F-ZBFS/2022-08-10/leg_6/F-ZBFS_baro_2022-08-10_leg_6.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 10:07:33.520000+00:00,2022-08-10 10:22:54.340000+00:00,15.33,15min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.684893,-0.496608,44.820875,-0.691053,0.0,output/F-ZBFS/2022-08-10/leg_5/F-ZBFS_baro_2022-08-10_leg_5.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 09:52:01.680000+00:00,2022-08-10 09:53:49.900000+00:00,1.8,2min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.625797,-0.539121,44.712617,-0.478771,0.0,output/F-ZBFS/2022-08-10/leg_4/F-ZBFS_baro_2022-08-10_leg_4.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 08:28:29.860000+00:00,2022-08-10 09:11:08.730000+00:00,42.63,43min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.684299,-0.492262,44.71793,-0.468085,0.0,output/F-ZBFS/2022-08-10/leg_3/F-ZBFS_baro_2022-08-10_leg_3.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 07:42:38.410000+00:00,2022-08-10 08:14:41.610000+00:00,32.05,32min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.820935,-0.694815,44.702648,-0.507849,0.0,output/F-ZBFS/2022-08-10/leg_2/F-ZBFS_baro_2022-08-10_leg_2.csv
F-ZBFS,3b7b6e,2022-08-10,2022-08-10 05:51:27.670000+00:00,2022-08-10 06:23:08.020000+00:00,31.67,32min,Bordeaux-Merignac Airport,Bordeaux-Merignac Airport,LFBD,LFBD,44.836227,-0.684598,44.815001,-0.731045,0.0,output/F-ZBFS/2022-08-10/leg_1/F-ZBFS_baro_2022-08-10_leg_1.csv
