propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv,routes
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-17,2022-08-17 15:36:45.185000+00:00,2022-08-17 16:02:07.536000+00:00,25.37,25min,Châlons-Vatry Airport,Villacoublay-Velizy (BA 107) Air Base,LFOK,LFPV,48.773666,4.203327,48.774595,2.216492,1.5,output/F-RAFQ/2022-08-17/leg_4/F-RAFQ_baro_2022-08-17_leg_4.csv,Châlons-Vatry Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-17,2022-08-17 14:04:43.725000+00:00,2022-08-17 15:13:22.846000+00:00,68.65,1h09min,Poitiers-Biard Airport,Châlons-Vatry Airport,LFBI,LFOK,46.594274,0.312698,48.776596,4.181213,4.1,output/F-RAFQ/2022-08-17/leg_3/F-RAFQ_baro_2022-08-17_leg_3.csv,Poitiers-Biard Airport - Châlons-Vatry Airport
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-17,2022-08-17 13:06:53.985000+00:00,2022-08-17 13:39:47.536000+00:00,32.88,33min,Clermont-Ferrand Auvergne Airport,Poitiers-Biard Airport,LFLC,LFBI,45.78771,3.18013,46.58931,0.308421,2.0,output/F-RAFQ/2022-08-17/leg_2/F-RAFQ_baro_2022-08-17_leg_2.csv,Clermont-Ferrand Auvergne Airport - Poitiers-Biard Airport
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-17,2022-08-17 11:32:02.356000+00:00,2022-08-17 12:33:15.646000+00:00,61.22,1h01min,Villacoublay-Velizy (BA 107) Air Base,Clermont-Ferrand Auvergne Airport,LFPV,LFLC,48.774216,2.194237,45.786221,3.165367,3.7,output/F-RAFQ/2022-08-17/leg_1/F-RAFQ_baro_2022-08-17_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Clermont-Ferrand Auvergne Airport
Escadron de transport 60,F-RAFC,3b76a5,2022-08-17,2022-08-17 10:13:21.467000+00:00,2022-08-17 17:49:46.257000+00:00,456.4,7h36min,Port Bouet Airport,Villacoublay-Velizy (BA 107) Air Base,DIAP,LFPV,5.268875,-3.922735,48.77449,2.209238,22.2,output/F-RAFC/2022-08-17/leg_2/F-RAFC_baro_2022-08-17_leg_2.csv,Port Bouet Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFC,3b76a5,2022-08-17,2022-08-17 08:02:29.427000+00:00,2022-08-17 09:22:21.037000+00:00,79.85,1h20min,A/C in cruise,Port Bouet Airport,A/C in cruise,DIAP,1.963463,5.333519,5.264081,-3.924724,3.9,output/F-RAFC/2022-08-17/leg_1/F-RAFC_baro_2022-08-17_leg_1.csv,A/C in cruise - Port Bouet Airport
Escadron de transport 60,F-RAFB,3b76b3,2022-08-16,2022-08-16 12:55:14.274000+00:00,2022-08-16 13:52:34.484000+00:00,57.33,57min,Grenoble-Isère Airport,Villacoublay-Velizy (BA 107) Air Base,LFLS,LFPV,45.400681,5.354527,48.77449,2.208463,3.6,output/F-RAFB/2022-08-16/leg_2/F-RAFB_baro_2022-08-16_leg_2.csv,Grenoble-Isère Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFB,3b76b3,2022-08-16,2022-08-16 11:53:43.333000+00:00,2022-08-16 12:54:14.583000+00:00,60.52,1h01min,Villacoublay-Velizy (BA 107) Air Base,Grenoble-Isère Airport,LFPV,LFLS,48.774353,2.201984,45.397277,5.314904,3.8,output/F-RAFB/2022-08-16/leg_1/F-RAFB_baro_2022-08-16_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Grenoble-Isère Airport
Escadron de transport 60,F-RAFP,3b77e5,2022-08-16,2022-08-16 10:20:47.144000+00:00,2022-08-16 11:45:07.764000+00:00,84.33,1h24min,Dinard-Pleurtuit-Saint-Malo Airport,Villacoublay-Velizy (BA 107) Air Base,LFRD,LFPV,48.594223,-2.081698,48.774261,2.197477,5.1,output/F-RAFP/2022-08-16/leg_2/F-RAFP_baro_2022-08-16_leg_2.csv,Dinard-Pleurtuit-Saint-Malo Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFP,3b77e5,2022-08-16,2022-08-16 07:16:27.374000+00:00,2022-08-16 09:52:29.034000+00:00,156.02,2h36min,Villacoublay-Velizy (BA 107) Air Base,Dinard-Pleurtuit-Saint-Malo Airport,LFPV,LFRD,48.774409,2.204855,48.591971,-2.081114,9.4,output/F-RAFP/2022-08-16/leg_1/F-RAFP_baro_2022-08-16_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Dinard-Pleurtuit-Saint-Malo Airport
Escadron de transport 60,F-RAFC,3b76a5,2022-08-16,2022-08-16 07:11:55.353000+00:00,2022-08-16 13:46:36.966000+00:00,394.68,6h35min,Villacoublay-Velizy (BA 107) Air Base,A/C in cruise,LFPV,A/C in cruise,48.774223,2.193073,1.460037,9.804786,19.2,output/F-RAFC/2022-08-16/leg_1/F-RAFC_baro_2022-08-16_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - A/C in cruise
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-11,2022-08-11 22:06:40.830000+00:00,2022-08-11 22:25:27.650000+00:00,18.77,19min,Évreux-Fauville (BA 105) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFOE,LFPV,49.02887,1.220187,48.774399,2.203252,0.8,output/F-RAFQ/2022-08-11/leg_3/F-RAFQ_baro_2022-08-11_leg_3.csv,Évreux-Fauville (BA 105) Air Base - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-11,2022-08-11 21:14:58.070000+00:00,2022-08-11 21:49:46.080000+00:00,34.8,35min,Évreux-Fauville (BA 105) Air Base,Évreux-Fauville (BA 105) Air Base,LFOE,LFOE,49.028458,1.219553,49.017505,1.205677,1.5,output/F-RAFQ/2022-08-11/leg_2/F-RAFQ_baro_2022-08-11_leg_2.csv,Évreux-Fauville (BA 105) Air Base - Évreux-Fauville (BA 105) Air Base
Escadron de transport 60,F-RAFQ,3b77e4,2022-08-11,2022-08-11 19:37:10.010000+00:00,2022-08-11 20:41:23.300000+00:00,64.22,1h04min,Villacoublay-Velizy (BA 107) Air Base,Évreux-Fauville (BA 105) Air Base,LFPV,LFOE,48.774362,2.201241,49.016201,1.204015,2.8,output/F-RAFQ/2022-08-11/leg_1/F-RAFQ_baro_2022-08-11_leg_1.csv,Villacoublay-Velizy (BA 107) Air Base - Évreux-Fauville (BA 105) Air Base
Escadron de transport 60,F-RAFP,3b77e5,2022-08-11,2022-08-11 15:52:11.220000+00:00,2022-08-11 16:44:05.540000+00:00,51.9,52min,Pau Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBP,LFPV,43.946869,-0.530154,48.774176,2.192062,2.2,output/F-RAFP/2022-08-11/leg_4/F-RAFP_baro_2022-08-11_leg_4.csv,Pau Pyrenees Airport - Villacoublay-Velizy (BA 107) Air Base
Escadron de transport 60,F-RAFP,3b77e5,2022-08-11,2022-08-11 14:43:24.360000+00:00,2022-08-11 15:21:45.490000+00:00,38.35,38min,Orange-Caritat (BA 115) Air Base,Pau Pyrenees Airport,LFMO,LFBP,44.167282,4.83935,43.915604,-0.391803,1.7,output/F-RAFP/2022-08-11/leg_3/F-RAFP_baro_2022-08-11_leg_3.csv,Orange-Caritat (BA 115) Air Base - Pau Pyrenees Airport
